account_no,holder_name,holder_address,bank_name,account_type,opened_date,avg_monthly_deposit_pkr
PK43-2097162402,Syed Luqman Gilani,"House No. 391, Gali 28, Bahria Phase 4, Rawalpindi",Askari Bank,Savings,2024-11-28,2386418
PK28-7757306859,Jawad Orakzai,"House No. 198, Gali 28, B-17, Islamabad",MCB,Foreign Currency,2024-09-22,41714
PK11-5689092159,L.Bukhari,مکان 7 گلی 8 Cantt Multan,Allied Bank,Savings,2025-09-27,3677317
PK34-5933468798,L.Bukhari,مکان 7 گلی 8 Cantt Multan,UBL,Foreign Currency,2019-05-17,5431539
PK64-6858134944,L.Bukhari,"House No. 7, Gali 8, Cantt, Multan",JS Bank,Foreign Currency,2021-06-23,7972594
PK99-6357078311,Sana Baig,"House 219, Street 17, DHA Phase 6, Karachi",HBL,Foreign Currency,2024-01-12,44887
PK65-7093598299,K. Niazi,"House 252, Street 1, F-8/3, Islamabad",Askari Bank,Current,2023-06-25,3623848
PK73-8218139009,K. Niazi,H#252 St-1 F-8/3 Islamabad,Askari Bank,Savings,2023-01-02,2131782
PK17-6079896627,Rida Sial,"House No. 192, Gali 12, Bahria Phase 4, Rawalpindi",Askari Bank,Current,2018-09-18,4033586
PK11-9675232918,Taimoor Gilani,"House No. 96, Gali 13, Hayatabad Phase 3, Peshawar",JS Bank,Savings,2025-08-17,47372
PK43-8242489259,Sardar Sufyan Afridi,"House 326, Street 11, Peoples Colony, Faisalabad",Allied Bank,Foreign Currency,2020-04-08,117298
PK55-1474636369,Ehsan ملک,مکان 245 گلی 32 Peoples Colony Faisalabad,JS Bank,Foreign Currency,2020-07-25,18012
PK40-2919117646,F. Bukhari,"House 50, Street 14, Hayatabad Phase 3, Peshawar",Allied Bank,Foreign Currency,2021-06-24,2430351
PK18-7591930784,Farah Bukhari,مکان 50 گلی 14 Hayatabad Phase 3 Peshawar,JS Bank,Savings,2025-06-24,1880236
PK79-5665853352,Sajid Hashmi,H#310 St-28 Gulshan-e-Iqbal Karachi,Allied Bank,Current,2020-04-28,53182
PK11-7417177670,F.Warraich,"House No. 183, Gali 22, Clifton Block 2, Karachi",Meezan Bank,Savings,2018-03-11,4758136
PK42-6073977131,Hassan Shirazi,H#144 St-16 G-13/1 Islamabad,Askari Bank,Savings,2021-04-09,1041901
PK61-2766838964,M. Afridi,مکان 9 گلی 24 University Town Peshawar,Bank Alfalah,Foreign Currency,2020-06-12,3942237
PK33-9338313064,محمد Afridi,"House No. 9, Gali 24, University Town, Peshawar",Meezan Bank,Savings,2023-05-23,1467409
PK88-9867575429,Chaudhary Farhan Sial,"House 376, Street 25, Clifton Block 2, Karachi",Bank Alfalah,Foreign Currency,2022-12-14,365073
PK95-4878660073,Rana Hussain Awan,مکان 155 گلی 36 Clifton Block 2 کراچی,Meezan Bank,Savings,2025-03-29,1181236
PK17-2246314947,Hussain Awan,"House No. 155, Gali 36, Clifton Block 2, Karachi",Allied Bank,Savings,2024-12-01,3361777
PK29-5091107475,Luqman Kakar,مکان 369 گلی 17 Johar Town لاہور,Allied Bank,Savings,2022-02-12,4679973
PK92-3127657677,L. Kakar,مکان 369 گلی 17 Johar Town لاہور,JS Bank,Current,2018-10-02,4677544
PK82-9251073459,Haji Luqman Kakar,"House No. 369, Gali 17, Johar Town, Lahore",Meezan Bank,Savings,2021-11-04,1628468
PK24-9148912159,J.Cheema,"House 295, Street 39, Hayatabad Phase 3, Peshawar",UBL,Savings,2022-06-01,3188119
PK12-8505823984,J.Cheema,H#295 St-39 HayatabadPhase3 Peshawar,MCB,Foreign Currency,2022-05-08,6949630
PK36-3028398754,Mian Zara Khattak,"House No. 224, Gali 15, Gulbahar, Peshawar",Bank Alfalah,Current,2021-10-06,81912
PK25-1451610222,E.Saddozai,"House 382, Street 8, Peoples Colony, Faisalabad",JS Bank,Foreign Currency,2023-10-08,56968
PK98-2482987463,M.Niazi,H#275 St-13 G-13/1 Islamabad,Bank Alfalah,Savings,2021-01-27,26563
PK12-7768284901,S. Wazir,مکان 114 گلی 7 D Ground Faisalabad,Askari Bank,Savings,2018-05-24,198447
PK46-5237202154,Chaudhary Shoaib Hashmi,"House No. 76, Gali 39, Shah Rukn-e-Alam, Multan",UBL,Savings,2024-07-25,289198
PK69-5152308991,Adnan Bangash,مکان 359 گلی 4 Bahria Phase 4 راولپنڈی,UBL,Foreign Currency,2024-03-08,48932
PK85-7987838805,Irfan Orakzai,"House 50, Street 9, Westridge, Rawalpindi",MCB,Savings,2024-09-10,164185
PK71-4542257079,A. Awan,H#150 St-10 NorthNazimabad Karachi,UBL,Savings,2020-12-16,1339027
PK35-7078720988,A. Awan,"House 150, Street 10, North Nazimabad, Karachi",HBL,Current,2018-05-10,6447454
PK52-4761925336,H.Kazmi,H#304 St-28 ShahRukn-e-Alam Multan,Bank Alfalah,Foreign Currency,2024-11-20,195693
PK70-9147520128,M. Niazi,مکان 89 گلی 25 Gulgasht Multan,Askari Bank,Current,2018-05-19,4226990
PK32-1141724501,Mustafa Niazi,مکان 89 گلی 25 Gulgasht Multan,Allied Bank,Savings,2024-04-20,3591256
PK77-3150099457,Syed Mustafa Niazi,مکان 89 گلی 25 Gulgasht Multan,HBL,Foreign Currency,2025-04-23,4475963
PK33-8015380149,Ahmed Siddiqui,"House No. 63, Gali 32, G-10/2, Islamabad",Askari Bank,Foreign Currency,2025-06-23,4278289
PK38-5934758784,Zafar Lodhi,"House 49, Street 38, Gulgasht, Multan",UBL,Savings,2018-05-22,5519462
PK23-9204838559,Z. Lodhi,مکان 49 گلی 38 Gulgasht Multan,MCB,Current,2023-06-05,2411806
PK96-8635381776,Z.Lodhi,"House No. 49, Gali 38, Gulgasht, Multan",JS Bank,Savings,2025-08-14,6730999
PK23-7466329458,Zafar Lodhi,مکان 49 گلی 38 Gulgasht Multan,HBL,Current,2022-11-22,5079308
PK76-7536660062,Syed Zeeshan Bhatti,"House 276, Street 12, B-17, Islamabad",HBL,Foreign Currency,2023-01-28,41312
PK49-7418562154,M.Chaudhry,"House 276, Street 8, D Ground, Faisalabad",UBL,Savings,2019-02-22,3037917
PK89-2837106543,Mian Mustafa Chaudhry,H#276 St-8 DGround Faisalabad,UBL,Current,2021-07-10,1386829
PK73-5057466666,M.Chaudhry,"House No. 276, Gali 8, D Ground, Faisalabad",MCB,Savings,2023-02-11,7528760
PK98-5335046382,Mustafa چوہدری,مکان 276 گلی 8 D Ground Faisalabad,Askari Bank,Savings,2022-09-06,2180952
PK68-8245294161,Ayesha Niazi,"House No. 88, Gali 28, Wapda Town, Lahore",UBL,Savings,2024-02-04,49465
PK86-7175536670,Z.Wazir,"House No. 72, Gali 37, Madina Town, Faisalabad",Meezan Bank,Savings,2024-12-30,6522120
PK82-3303837569,Zubair Wazir,مکان 72 گلی 37 Madina Town Faisalabad,Allied Bank,Current,2022-01-25,5963632
PK77-6082658671,Z.Wazir,"House No. 72, Gali 37, Madina Town, Faisalabad",UBL,Current,2023-12-07,5411891
PK10-4612216198,Haji Zubair Wazir,مکان 72 گلی 37 Madina Town Faisalabad,HBL,Foreign Currency,2019-03-15,5577986
PK15-3887336433,T. Orakzai,H#366 St-24 Cantt Multan,MCB,Foreign Currency,2021-09-14,41907
PK87-6284982699,R.Virk,مکان 127 گلی 5 G-13/1 اسلام آباد,UBL,Savings,2021-12-02,1422728
PK44-7846537992,Mian Rauf Virk,"House No. 127, Gali 5, G-13/1, Islamabad",MCB,Foreign Currency,2020-06-30,4082543
PK80-2310328864,Babar Afridi,H#171 St-18 I-8/4 Islamabad,Bank Alfalah,Current,2018-11-16,150843
PK64-1347422646,Khalid Qureshi,H#90 St-34 HayatabadPhase3 Peshawar,Bank Alfalah,Savings,2023-11-25,3423490
PK50-3442052225,K. Qureshi,مکان 90 گلی 34 Hayatabad Phase 3 Peshawar,MCB,Foreign Currency,2024-10-20,2394151
PK81-3578943772,Zafar Bukhari,H#5 St-33 ChaklalaScheme3 Rawalpindi,HBL,Savings,2021-01-20,2583978
PK74-4515471541,Z. Bukhari,مکان 5 گلی 33 Chaklala Scheme 3 راولپنڈی,HBL,Current,2018-03-27,2153030
PK65-2646992876,Bilal Durrani,مکان 363 گلی 16 Shah Rukn-e-Alam Multan,MCB,Savings,2025-05-17,1485468
PK71-6330030703,B. Durrani,"House 363, Street 16, Shah Rukn-e-Alam, Multan",JS Bank,Current,2019-02-23,3451809
PK41-4028150468,W.Kazmi,مکان 220 گلی 34 Gulberg III لاہور,Askari Bank,Current,2019-09-07,1023847
PK15-9368778101,S.Afridi,"House No. 374, Gali 16, G-10/2, Islamabad",Meezan Bank,Savings,2019-10-11,7515631
PK93-3041253600,S.Afridi,مکان 374 گلی 16 G-10/2 اسلام آباد,Meezan Bank,Current,2018-07-14,1757857
PK16-7149922987,A.Sial,مکان 375 گلی 9 Gulgasht Multan,Askari Bank,Savings,2025-02-19,58268
PK10-6182074366,L.Joiya,"House 90, Street 5, Bahria Phase 4, Rawalpindi",MCB,Current,2025-01-24,41972
PK65-2648560034,N. Dar,مکان 324 گلی 37 B-17 اسلام آباد,HBL,Current,2022-04-09,1120376
PK66-5582425501,A.Tarar,"House 4, Street 10, E-11/2, Islamabad",Askari Bank,Foreign Currency,2021-12-02,283596
PK72-7534638231,Qasim Ansari,H#56 St-29 MadinaTown Faisalabad,Askari Bank,Current,2024-10-22,6116188
PK79-9683886301,Mian Qasim Ansari,مکان 56 گلی 29 Madina Town Faisalabad,Allied Bank,Current,2018-06-24,3499366
PK91-3787389548,Q.Ansari,H#56 St-29 MadinaTown Faisalabad,UBL,Foreign Currency,2019-02-21,7450772
PK83-4856787606,Syed Waqas Wazir,مکان 341 گلی 18 Westridge راولپنڈی,Bank Alfalah,Savings,2022-12-15,3254577
PK10-4767153771,Waqas Wazir,"House 341, Street 18, Westridge, Rawalpindi",JS Bank,Current,2022-09-10,2619477
PK21-4568966831,عائشہ خان,مکان 122 گلی 4 Gulbahar Peshawar,Askari Bank,Foreign Currency,2021-08-10,1214835
PK58-8118481879,Malik Nadeem Orakzai,"House No. 102, Gali 31, Westridge, Rawalpindi",Bank Alfalah,Foreign Currency,2024-02-18,49719
PK86-5134081764,A. Yousafzai,"House No. 27, Gali 25, Satellite Town, Rawalpindi",Allied Bank,Savings,2024-12-13,5590467
PK96-7036343430,A. Yousafzai,مکان 27 گلی 25 Satellite Town راولپنڈی,Bank Alfalah,Foreign Currency,2020-10-27,2019616
PK18-8072209563,A.Yousafzai,"House No. 27, Gali 25, Satellite Town, Rawalpindi",MCB,Foreign Currency,2019-10-17,1281562
PK60-2248066311,Madiha Tarar,H#25 St-12 ChaklalaScheme3 Rawalpindi,Bank Alfalah,Savings,2025-06-01,3321804
PK59-9506268269,Madiha Tarar,مکان 25 گلی 12 Chaklala Scheme 3 راولپنڈی,UBL,Current,2020-05-31,4907972
PK46-6069532787,Madiha Tarar,"House No. 25, Gali 12, Chaklala Scheme 3, Rawalpindi",Allied Bank,Foreign Currency,2021-04-06,4268608
PK38-1514853911,M. Tarar,"House 25, Street 12, Chaklala Scheme 3, Rawalpindi",Allied Bank,Foreign Currency,2018-11-15,3819720
PK60-4613080653,Y. Lodhi,H#221 St-12 PeoplesColony Faisalabad,Meezan Bank,Foreign Currency,2019-12-06,135407
PK66-3251746711,F.Khan,H#395 St-9 Gulgasht Multan,Askari Bank,Foreign Currency,2023-06-29,64774
PK65-8920525363,Laiba Sandhu,"House No. 108, Gali 38, Chaklala Scheme 3, Rawalpindi",Bank Alfalah,Savings,2025-04-17,2412370
PK26-5369162098,Laiba Sandhu,H#108 St-38 ChaklalaScheme3 Rawalpindi,Askari Bank,Foreign Currency,2020-10-16,2147393
PK11-5751905849,Syed Laiba Sandhu,مکان 108 گلی 38 Chaklala Scheme 3 راولپنڈی,Allied Bank,Savings,2023-07-11,5141868
PK55-9035333714,Usman Bukhari,"House 99, Street 29, Cantt, Multan",UBL,Savings,2023-11-02,2897012
PK61-3381704652,Usman Bukhari,مکان 99 گلی 29 Cantt Multan,Allied Bank,Current,2020-04-15,1318875
PK43-1784561222,Syed Maryam Durrani,"House 66, Street 13, Satellite Town, Rawalpindi",Askari Bank,Savings,2019-11-12,53194
PK48-4205313546,T.Afridi,"House 224, Street 5, Cantt, Multan",Bank Alfalah,Current,2024-01-10,28310
PK74-3655540669,Syed Laiba Lodhi,"House No. 2, Gali 11, Bahria Phase 4, Rawalpindi",MCB,Foreign Currency,2018-04-24,4422104
PK23-9412214649,Rana Laiba Lodhi,مکان 2 گلی 11 Bahria Phase 4 راولپنڈی,UBL,Savings,2023-06-15,3613739
PK46-3755280440,Noor Naqvi,"House 113, Street 19, Gulberg III, Lahore",Askari Bank,Current,2024-09-04,194619
PK69-6703327143,Zubair Butt,"House No. 143, Gali 9, Cantt, Multan",Allied Bank,Savings,2022-04-29,4961846
PK39-5711580002,Z. Gill,"House 189, Street 21, Gulgasht, Multan",JS Bank,Current,2020-09-05,152166
PK93-8712337220,Atif شیخ,H#183 St-15 Cantt Multan,JS Bank,Savings,2023-07-03,2703763
PK17-2845211074,A.Sheikh,"House No. 183, Gali 15, Cantt, Multan",Meezan Bank,Savings,2023-09-09,3944687
PK84-6314754380,Noman Bukhari,مکان 80 گلی 29 Shah Rukn-e-Alam Multan,Meezan Bank,Savings,2022-01-30,29500
PK75-8626369261,Anas Ansari,مکان 91 گلی 13 DHA Phase 6 کراچی,Meezan Bank,Current,2019-09-25,195737
PK96-7519991151,W. Ansari,مکان 352 گلی 39 University Town Peshawar,Meezan Bank,Savings,2025-02-24,3262856
PK51-4859827867,A. Tareen,"House No. 23, Gali 9, Gulbahar, Peshawar",Meezan Bank,Foreign Currency,2023-05-02,58571
PK55-7443176831,احمد خان,"House 278, Street 22, Hayatabad Phase 3, Peshawar",Meezan Bank,Savings,2023-04-17,58182
PK28-7172162394,W. Niazi,"House 80, Street 16, Model Town, Lahore",HBL,Current,2022-12-26,1590377
PK74-9288765448,G. Chaudhry,"House No. 61, Gali 24, Madina Town, Faisalabad",HBL,Savings,2020-08-11,3604815
PK71-7031264565,G.Chaudhry,"House 61, Street 24, Madina Town, Faisalabad",Meezan Bank,Foreign Currency,2025-01-22,4121354
PK79-6240561281,Iqra Ansari,مکان 77 گلی 20 Shah Rukn-e-Alam Multan,MCB,Savings,2025-07-31,211302
PK55-4047493906,Bushra Sandhu,H#2 St-10 DHAPhase5 Lahore,Allied Bank,Savings,2019-07-22,4791407
PK59-5391859419,Kamran Siddiqui,H#373 St-18 MadinaTown Faisalabad,Meezan Bank,Foreign Currency,2019-07-17,304369
PK80-3185477114,P. Zaidi,"House 273, Street 35, North Nazimabad, Karachi",Askari Bank,Savings,2023-05-31,6321907
PK47-3683948044,Rana Pervez Zaidi,"House 273, Street 35, North Nazimabad, Karachi",Allied Bank,Foreign Currency,2019-06-08,1488393
PK40-4877263193,Pervez Zaidi,H#273 St-35 NorthNazimabad Karachi,UBL,Foreign Currency,2023-08-05,3192710
PK84-1201361667,P. Zaidi,مکان 273 گلی 35 North Nazimabad کراچی,Bank Alfalah,Foreign Currency,2018-08-30,2706700
PK32-4433771741,Malik Farhan Sandhu,مکان 151 گلی 30 Hayatabad Phase 3 Peshawar,Askari Bank,Savings,2022-11-29,210182
PK40-1957850969,B. Bukhari,مکان 305 گلی 11 E-11/2 اسلام آباد,JS Bank,Current,2024-09-13,121000
PK23-5727403576,Laiba Tareen,مکان 6 گلی 26 Bahria Phase 4 راولپنڈی,Meezan Bank,Savings,2022-05-09,2752178
PK42-1843039520,Laiba Tareen,H#6 St-26 BahriaPhase4 Rawalpindi,HBL,Savings,2023-09-30,2496218
PK76-7276145318,Danish Sial,مکان 48 گلی 34 Chaklala Scheme 3 راولپنڈی,Allied Bank,Savings,2019-09-15,7550242
PK27-7993146986,Danish Sial,"House No. 48, Gali 34, Chaklala Scheme 3, Rawalpindi",Allied Bank,Foreign Currency,2023-02-08,6783387
PK30-9791444571,Rana Danish Sial,H#48 St-34 ChaklalaScheme3 Rawalpindi,Askari Bank,Current,2024-03-19,6665493
PK65-2174222185,Rana Danish Sial,H#48 St-34 ChaklalaScheme3 Rawalpindi,MCB,Current,2019-02-24,6033997
PK10-6831373929,Rana Talha Saddozai,"House No. 40, Gali 30, D Ground, Faisalabad",Allied Bank,Savings,2018-07-19,180090
PK53-8598681388,Z. Qureshi,"House No. 306, Gali 1, F-8/3, Islamabad",Allied Bank,Foreign Currency,2025-10-18,38795
PK26-6120091963,Sajid Raja,"House No. 23, Gali 37, D Ground, Faisalabad",HBL,Foreign Currency,2019-07-30,200856
PK98-5586244176,احمد Gill,"House No. 204, Gali 33, University Town, Peshawar",Allied Bank,Current,2021-12-04,128006
PK90-6455074799,K.Mehsud,H#209 St-33 I-8/4 Islamabad,Meezan Bank,Foreign Currency,2023-06-25,3645474
PK87-1174972955,K. Mehsud,"House 209, Street 33, I-8/4, Islamabad",Meezan Bank,Foreign Currency,2022-10-27,7676818
PK44-3543145548,Kinza Mehsud,مکان 209 گلی 33 I-8/4 اسلام آباد,JS Bank,Current,2021-09-20,1291664
PK84-8191551240,K. Mehsud,"House 209, Street 33, I-8/4, Islamabad",HBL,Current,2019-12-11,5018552
PK16-4636824812,Mian Mahnoor Butt,مکان 78 گلی 30 Johar Town لاہور,Meezan Bank,Current,2023-04-07,59040
PK66-4618480385,R. Kakar,مکان 257 گلی 34 Cantt Multan,MCB,Savings,2023-01-28,41670
PK49-9425886910,Chaudhary Zubair Sandhu,"House 21, Street 25, Madina Town, Faisalabad",Allied Bank,Foreign Currency,2024-07-21,1568862
PK87-7651256953,Z. Sandhu,"House 21, Street 25, Madina Town, Faisalabad",Allied Bank,Savings,2019-10-29,4890645
PK28-4101869817,Zeeshan Khan,"House No. 281, Gali 6, Chaklala Scheme 3, Rawalpindi",JS Bank,Savings,2019-08-17,213293
PK68-6119321162,Waqas چوہدری,"House No. 187, Gali 23, Wapda Town, Lahore",HBL,Foreign Currency,2020-12-22,37603
PK11-1028701354,Y. Kayani,"House 333, Street 9, University Town, Peshawar",HBL,Savings,2024-05-08,173976
PK62-9663521367,Haji Nasir Tarar,H#349 St-9 Gulbahar Peshawar,HBL,Foreign Currency,2020-08-08,44197
PK66-7641834140,S.Gill,H#329 St-35 NorthNazimabad Karachi,MCB,Current,2020-12-29,2175778
PK99-6254681311,Salman Gill,"House No. 329, Gali 35, North Nazimabad, Karachi",MCB,Savings,2024-03-20,7107164
PK41-6701012079,Haris Warraich,مکان 163 گلی 22 DHA Phase 5 لاہور,JS Bank,Savings,2024-08-13,1373370
PK38-9899489724,Haris Warraich,"House 163, Street 22, DHA Phase 5, Lahore",HBL,Current,2024-01-30,6657131
PK55-2166292183,Sardar Haris Warraich,مکان 163 گلی 22 DHA Phase 5 لاہور,Bank Alfalah,Foreign Currency,2018-04-04,4124823
PK81-9958599912,H.Warraich,"House 163, Street 22, DHA Phase 5, Lahore",JS Bank,Savings,2023-06-04,3049920
PK12-6805184982,Ibrahim Sial,H#28 St-14 DHAPhase6 Karachi,Askari Bank,Savings,2023-05-06,5501802
PK27-1866209150,Haji Ibrahim Sial,"House No. 28, Gali 14, DHA Phase 6, Karachi",MCB,Current,2019-09-14,2325465
PK67-6989475184,I.Sial,مکان 28 گلی 14 DHA Phase 6 کراچی,JS Bank,Savings,2023-11-09,1306604
PK53-4693653224,K.Lodhi,"House 153, Street 29, Clifton Block 2, Karachi",Meezan Bank,Foreign Currency,2019-08-12,29151
PK98-2346039795,Sardar Bilal Raja,"House 386, Street 20, Gulshan-e-Iqbal, Karachi",MCB,Current,2018-10-01,2418836
PK58-7578636871,J.Mughal,"House No. 182, Gali 37, Shah Rukn-e-Alam, Multan",Allied Bank,Savings,2020-09-24,5585960
PK35-2957570544,J. Mughal,"House 182, Street 37, Shah Rukn-e-Alam, Multan",HBL,Foreign Currency,2025-01-21,5536010
PK66-2717630033,J. Mughal,"House 182, Street 37, Shah Rukn-e-Alam, Multan",HBL,Foreign Currency,2022-12-22,3730273
PK81-8733129984,Atif Wazir,مکان 381 گلی 21 Gulbahar Peshawar,Bank Alfalah,Current,2024-09-18,2416586
PK43-7178564185,A.Wazir,"House 381, Street 21, Gulbahar, Peshawar",Allied Bank,Foreign Currency,2024-06-30,2994168
PK27-9480112379,G. Gilani,H#187 St-2 I-8/4 Islamabad,JS Bank,Foreign Currency,2018-03-08,4105958
PK98-2957957846,G.Gilani,H#187 St-2 I-8/4 Islamabad,Allied Bank,Current,2024-12-09,4860095
PK87-8352490153,Obaid Tarar,"House No. 278, Gali 28, Gulberg III, Lahore",Bank Alfalah,Foreign Currency,2024-07-26,932007
PK41-4358871487,O.Tarar,مکان 278 گلی 28 Gulberg III لاہور,MCB,Foreign Currency,2022-03-22,2353487
PK45-9288826391,Sardar Saad Zaidi,"House 278, Street 28, Peoples Colony, Faisalabad",Allied Bank,Savings,2020-09-14,145063
PK93-6166460322,Z.Afridi,"House 342, Street 19, Clifton Block 2, Karachi",Askari Bank,Current,2022-04-22,1370033
PK60-1277364457,Zeeshan Afridi,مکان 342 گلی 19 Clifton Block 2 کراچی,JS Bank,Savings,2022-08-18,3709021
PK23-1098721284,Haris Rajput,"House No. 238, Gali 27, I-8/4, Islamabad",HBL,Current,2025-01-01,3587482
PK57-2626354479,Bushra Kayani,مکان 345 گلی 16 Model Town لاہور,Meezan Bank,Savings,2025-03-18,259893
PK14-5948165769,S. Saddozai,"House 172, Street 11, Madina Town, Faisalabad",HBL,Savings,2024-06-13,41248
PK66-2870381388,M.Khattak,"House 296, Street 28, Clifton Block 2, Karachi",Meezan Bank,Current,2025-04-18,52588
PK82-9410369396,Syed Waqas Sial,"House No. 364, Gali 9, Satellite Town, Rawalpindi",JS Bank,Current,2025-08-19,39532
PK56-1465710204,Waqas Bhatti,مکان 48 گلی 2 Satellite Town راولپنڈی,HBL,Foreign Currency,2022-04-09,2071894
PK97-9060368668,Waqas Bhatti,مکان 48 گلی 2 Satellite Town راولپنڈی,Bank Alfalah,Current,2025-03-09,5499145
PK46-4771073597,Syed Waqas Bhatti,"House No. 48, Gali 2, Satellite Town, Rawalpindi",Bank Alfalah,Savings,2019-02-27,4763725
PK27-5210552537,Waqas Bhatti,H#48 St-2 SatelliteTown Rawalpindi,UBL,Current,2022-09-28,7266400
PK85-4690044725,A. Virk,H#376 St-9 B-17 Islamabad,Askari Bank,Savings,2024-12-02,5633425
PK65-5283079251,Amna Virk,"House No. 376, Gali 9, B-17, Islamabad",Bank Alfalah,Foreign Currency,2019-04-10,5948734
PK97-7263787174,Amna Virk,"House No. 376, Gali 9, B-17, Islamabad",Bank Alfalah,Savings,2024-12-25,4257352
PK62-5986430518,Salman Chaudhry,H#107 St-26 Gulshan-e-Iqbal Karachi,MCB,Foreign Currency,2020-09-29,106728
PK69-2137577181,N.Mehsud,مکان 161 گلی 29 North Nazimabad کراچی,MCB,Foreign Currency,2021-12-01,56471
PK91-9197819064,Rabia Afridi,"House 61, Street 22, Peoples Colony, Faisalabad",MCB,Savings,2024-02-13,1347204
PK77-1405232689,Hamza Baig,H#275 St-2 PeoplesColony Faisalabad,Meezan Bank,Current,2025-11-25,29815
PK31-1710534515,R.Malik,"House 113, Street 6, Johar Town, Lahore",Askari Bank,Foreign Currency,2023-08-07,119954
PK12-9312780874,Haji Farhan Bangash,"House 151, Street 30, D Ground, Faisalabad",MCB,Current,2020-11-14,29892
PK22-3029177442,Jawad Afridi,H#231 St-11 HayatabadPhase3 Peshawar,MCB,Savings,2025-08-04,2122466
PK62-3064342077,Jawad Afridi,مکان 231 گلی 11 Hayatabad Phase 3 Peshawar,JS Bank,Savings,2019-07-29,3175292
PK28-5612971432,Rehan Wazir,مکان 75 گلی 21 Gulberg III لاہور,Bank Alfalah,Current,2023-09-27,261250
PK72-6537959820,Asad Zaidi,مکان 344 گلی 5 Wapda Town لاہور,JS Bank,Current,2022-07-26,25788
PK54-9879903229,H.Sheikh,"House No. 256, Gali 3, University Town, Peshawar",Meezan Bank,Foreign Currency,2022-05-08,4850145
PK13-6038368629,Syed Haris Sheikh,"House 256, Street 3, University Town, Peshawar",Bank Alfalah,Savings,2024-02-09,4636476
PK92-6991791538,A. Bukhari,"House No. 296, Gali 2, DHA Phase 6, Karachi",HBL,Current,2024-05-27,228461
PK16-7182259302,Hussain Rizvi,H#173 St-2 PeoplesColony Faisalabad,Allied Bank,Savings,2021-03-25,5123815
PK80-5157824739,H.Rizvi,"House No. 173, Gali 2, Peoples Colony, Faisalabad",Allied Bank,Savings,2025-11-14,2480689
PK15-8444543451,F. Warraich,H#397 St-21 G-13/1 Islamabad,JS Bank,Savings,2020-09-25,260442
PK20-1799638824,Anas Khattak,"House No. 317, Gali 7, I-8/4, Islamabad",Allied Bank,Savings,2018-02-28,205642
PK48-1987685194,عثمان Siddiqui,"House 39, Street 17, I-8/4, Islamabad",UBL,Current,2022-12-28,3411613
PK81-7693339035,U.Siddiqui,مکان 39 گلی 17 I-8/4 اسلام آباد,Bank Alfalah,Savings,2020-04-24,6570459
PK47-6336100405,U.Siddiqui,"House No. 39, Gali 17, I-8/4, Islamabad",Meezan Bank,Foreign Currency,2018-06-11,2861473
PK18-3915695621,عثمان Siddiqui,"House 39, Street 17, I-8/4, Islamabad",Meezan Bank,Savings,2022-06-22,7751845
PK87-1060512248,Hamza Awan,"House No. 386, Gali 38, Johar Town, Lahore",UBL,Current,2018-01-16,2347155
PK97-9597427540,Sardar Zafar Wazir,مکان 165 گلی 31 Gulshan-e-Iqbal کراچی,HBL,Savings,2018-04-08,2867302
PK67-2527070668,Zafar Wazir,"House 165, Street 31, Gulshan-e-Iqbal, Karachi",MCB,Savings,2022-01-03,7657447
PK86-1910099418,Zafar Wazir,"House 165, Street 31, Gulshan-e-Iqbal, Karachi",Askari Bank,Savings,2020-07-01,4495375
PK24-2141066996,Zafar Wazir,"House No. 165, Gali 31, Gulshan-e-Iqbal, Karachi",Meezan Bank,Foreign Currency,2020-10-02,6550212
PK60-2331806128,Malik Bushra Khattak,"House 356, Street 5, Cantt, Multan",Bank Alfalah,Current,2019-02-21,164216
PK74-6870460786,W. Virk,"House 54, Street 22, Westridge, Rawalpindi",MCB,Savings,2019-09-01,44905
PK15-2200279778,L. Khokhar,"House No. 259, Gali 7, Cantt, Multan",Bank Alfalah,Current,2019-07-08,51450
PK44-8237162052,F.Baig,H#97 St-5 UniversityTown Peshawar,Askari Bank,Savings,2022-01-30,89874
PK63-6543385557,Rashid Khokhar,مکان 57 گلی 16 B-17 اسلام آباد,JS Bank,Savings,2018-01-20,254080
PK32-5139979804,Ghulam Kayani,"House 44, Street 23, G-13/1, Islamabad",Askari Bank,Current,2020-10-19,3126210
PK29-8338142001,S.Shirazi,H#312 St-32 WapdaTown Lahore,MCB,Foreign Currency,2023-10-27,226381
PK79-5009562777,Chaudhary Nimra Orakzai,"House 201, Street 26, Shah Rukn-e-Alam, Multan",Askari Bank,Savings,2018-05-27,140604
PK26-2342097203,F. Afridi,H#148 St-1 WapdaTown Lahore,Bank Alfalah,Current,2023-02-26,7749899
PK68-4309508054,Farhan Afridi,"House 148, Street 1, Wapda Town, Lahore",JS Bank,Current,2018-05-28,6687231
PK64-9387818926,Rana Javeria Janjua,مکان 349 گلی 5 Chaklala Scheme 3 راولپنڈی,Allied Bank,Current,2021-03-10,69668
PK70-5142465999,Farah Rajput,H#11 St-12 Gulshan-e-Iqbal Karachi,Askari Bank,Savings,2021-12-07,28177
PK36-3616940396,I.Gill,"House 251, Street 16, Clifton Block 2, Karachi",Allied Bank,Current,2019-10-21,1135226
PK82-5487406104,D. Naqvi,"House 387, Street 10, Peoples Colony, Faisalabad",HBL,Current,2022-06-13,303629
