trip_id,passenger_name,passenger_address,destination,departure_date,trip_class,est_trip_cost_pkr
TRP-8900187,Fahad Kakar,مکان 337 گلی 35 Clifton Block 2 کراچی,Jeddah,2026-05-19,First,527223
TRP-3124764,H.Malik,"House 123, Street 11, Gulgasht, Multan",Kuala Lumpur,2025-10-10,First,586060
TRP-4696468,H. Malik,مکان 123 گلی 11 Gulgasht Multan,Dubai,2025-06-15,First,498272
TRP-9612818,Rana Hamza Malik,مکان 123 گلی 11 Gulgasht Multan,London,2024-04-17,First,1218926
TRP-8841865,H.Malik,H#123 St-11 Gulgasht Multan,Kuala Lumpur,2024-02-22,Business,571177
TRP-7586532,Malik Ehsan Kazmi,H#145 St-20 DHAPhase5 Lahore,Jeddah,2025-04-14,Business,400449
TRP-6553502,Ehsan Kazmi,"House No. 145, Gali 20, DHA Phase 5, Lahore",Jeddah,2025-09-30,First,361501
TRP-3384327,Z.Joiya,"House 234, Street 1, G-13/1, Islamabad",Jeddah,2024-07-07,Business,359967
TRP-8451141,Mian Zeeshan Joiya,"House 234, Street 1, G-13/1, Islamabad",Kuala Lumpur,2025-02-14,Business,516439
TRP-1622874,Z.Joiya,مکان 234 گلی 1 G-13/1 اسلام آباد,Kuala Lumpur,2026-01-08,Business,662184
TRP-2808824,Z. Joiya,"House 234, Street 1, G-13/1, Islamabad",Jeddah,2024-02-27,Business,467252
TRP-1889459,Mian Ehsan Yousafzai,مکان 333 گلی 6 Shah Rukn-e-Alam Multan,Kuala Lumpur,2025-01-09,First,422676
TRP-9238780,E.Yousafzai,"House 333, Street 6, Shah Rukn-e-Alam, Multan",Istanbul,2026-05-14,First,552803
TRP-8156941,Haji Ehsan Yousafzai,H#333 St-6 ShahRukn-e-Alam Multan,Dubai,2025-12-12,First,506075
TRP-3967621,Haji Ehsan Yousafzai,H#333 St-6 ShahRukn-e-Alam Multan,Istanbul,2025-04-08,First,520667
TRP-9301669,Ehsan Yousafzai,"House No. 333, Gali 6, Shah Rukn-e-Alam, Multan",Baku,2024-01-15,First,255702
TRP-1859692,Y.Naqvi,"House 88, Street 12, DHA Phase 6, Karachi",Dubai,2026-04-14,Business,410422
TRP-7075376,Yasir Naqvi,H#88 St-12 DHAPhase6 Karachi,Jeddah,2024-01-13,First,334872
TRP-5849620,Yasir Naqvi,H#88 St-12 DHAPhase6 Karachi,Istanbul,2025-12-21,Business,348520
TRP-3888174,Yasir Naqvi,مکان 88 گلی 12 DHA Phase 6 کراچی,Dubai,2025-10-01,First,358704
TRP-6599609,Y. Naqvi,مکان 88 گلی 12 DHA Phase 6 کراچی,Baku,2026-02-05,First,400892
TRP-3801766,Malik Yasir Naqvi,مکان 88 گلی 12 DHA Phase 6 کراچی,Istanbul,2025-11-27,First,513926
TRP-9740342,Syed Danish Khokhar,مکان 236 گلی 17 Shah Rukn-e-Alam Multan,Istanbul,2024-03-21,First,410946
TRP-6625197,Hina Kazmi,"House 132, Street 31, Johar Town, Lahore",Lahore,2024-11-19,Economy,59162
TRP-7529675,U. Sandhu,مکان 345 گلی 17 Gulgasht Multan,Kuala Lumpur,2025-12-20,First,436949
TRP-9878239,U.Sandhu,مکان 345 گلی 17 Gulgasht Multan,London,2026-01-09,Business,852482
TRP-9105360,U.Sandhu,H#345 St-17 Gulgasht Multan,Kuala Lumpur,2026-05-01,First,510507
TRP-1121687,U.Sandhu,H#345 St-17 Gulgasht Multan,Dubai,2025-11-12,Business,484932
TRP-6821001,Haji Ubaid Sandhu,H#345 St-17 Gulgasht Multan,Istanbul,2024-12-16,First,385105
TRP-1283679,Mubashir Hashmi,"House No. 121, Gali 35, G-10/2, Islamabad",Jeddah,2026-04-18,Business,374056
TRP-4317311,Haji Mubashir Hashmi,مکان 121 گلی 35 G-10/2 اسلام آباد,Istanbul,2025-10-13,First,467660
TRP-8731063,Mubashir Hashmi,"House No. 121, Gali 35, G-10/2, Islamabad",Kuala Lumpur,2025-01-25,First,560384
TRP-7175540,M.Hashmi,"House No. 121, Gali 35, G-10/2, Islamabad",Jeddah,2024-12-27,First,407134
TRP-7221890,Chaudhary Mubashir Hashmi,"House No. 121, Gali 35, G-10/2, Islamabad",Istanbul,2024-11-27,Business,518965
TRP-3248209,Mubashir Hashmi,"House 121, Street 35, G-10/2, Islamabad",Baku,2025-03-29,Business,313570
TRP-7079661,R. Joiya,H#186 St-7 DHAPhase6 Karachi,Skardu,2026-01-10,Economy,116733
TRP-3665701,Ahmed Gill,H#302 St-21 HayatabadPhase3 Peshawar,Karachi,2024-10-05,Economy,88154
TRP-4153501,Hina Siddiqui,H#244 St-29 Cantt Multan,Dubai,2024-03-02,First,388258
TRP-1381009,Hina Siddiqui,"House No. 244, Gali 29, Cantt, Multan",Baku,2025-08-31,First,333505
TRP-7658917,H.Siddiqui,H#244 St-29 Cantt Multan,Kuala Lumpur,2026-01-02,Business,671143
TRP-4660789,H.Siddiqui,"House 244, Street 29, Cantt, Multan",London,2024-01-30,First,828235
TRP-5523361,R.Joiya,"House No. 174, Gali 30, Westridge, Rawalpindi",Jeddah,2024-09-21,Business,506155
TRP-5140593,R.Joiya,"House No. 174, Gali 30, Westridge, Rawalpindi",Kuala Lumpur,2026-05-19,Business,528700
TRP-5478131,Rauf Joiya,H#174 St-30 Westridge Rawalpindi,Dubai,2024-10-24,First,441253
TRP-5355728,Kashif Sandhu,H#35 St-6 Westridge Rawalpindi,Baku,2024-10-08,First,364584
TRP-8950071,K.Sandhu,"House 35, Street 6, Westridge, Rawalpindi",London,2024-01-16,First,866041
TRP-6548553,Kashif Sandhu,"House 35, Street 6, Westridge, Rawalpindi",Baku,2024-11-08,Business,370813
TRP-9314402,M.Mehsud,"House 14, Street 39, Gulgasht, Multan",Jeddah,2024-02-27,First,461398
TRP-3466780,Malik Mehwish Mehsud,H#14 St-39 Gulgasht Multan,Dubai,2024-12-08,Business,333177
TRP-1516641,Mehwish Mehsud,H#14 St-39 Gulgasht Multan,Jeddah,2025-02-19,First,464222
TRP-2013391,Mehwish Mehsud,مکان 14 گلی 39 Gulgasht Multan,Kuala Lumpur,2024-01-20,Business,540784
TRP-4410278,Mehwish Mehsud,"House No. 14, Gali 39, Gulgasht, Multan",Istanbul,2025-04-15,Business,446565
TRP-9885323,M. Mehsud,"House 14, Street 39, Gulgasht, Multan",Baku,2026-02-25,Business,416676
TRP-8339416,F. Khan,مکان 290 گلی 26 Bahria Phase 4 راولپنڈی,London,2024-08-19,Business,891773
TRP-7525330,Mian Farhan Khan,H#290 St-26 BahriaPhase4 Rawalpindi,Jeddah,2025-01-15,First,378002
TRP-4676232,F.Gill,"House 146, Street 38, Clifton Block 2, Karachi",Lahore,2025-08-29,Economy,47617
TRP-1384288,A.Mughal,H#236 St-24 Gulbahar Peshawar,Baku,2026-05-29,Business,335603
TRP-8504013,Atif Mughal,H#236 St-24 Gulbahar Peshawar,Istanbul,2025-11-11,First,473665
TRP-7091258,Chaudhary Atif Mughal,مکان 236 گلی 24 Gulbahar Peshawar,Kuala Lumpur,2026-03-25,Business,612665
TRP-1389380,Atif Mughal,"House 236, Street 24, Gulbahar, Peshawar",Kuala Lumpur,2025-02-28,First,650222
TRP-6425250,Hina Raja,H#382 St-22 Gulshan-e-Iqbal Karachi,Jeddah,2024-09-02,Business,449341
TRP-7542015,Haji Hina Raja,H#382 St-22 Gulshan-e-Iqbal Karachi,Kuala Lumpur,2024-09-28,Business,469714
TRP-8089455,Hussain Sheikh,H#40 St-6 GulbergIII Lahore,Kuala Lumpur,2025-08-28,Business,443204
TRP-7793903,Sardar Taimoor Qureshi,"House 366, Street 6, University Town, Peshawar",Dubai,2025-12-06,Business,355096
TRP-7829497,Taimoor Qureshi,"House 366, Street 6, University Town, Peshawar",Jeddah,2025-12-09,First,547038
TRP-1639900,Taimoor قریشی,"House No. 366, Gali 6, University Town, Peshawar",Istanbul,2025-03-11,First,408539
TRP-6912239,Taimoor Qureshi,مکان 366 گلی 6 University Town Peshawar,Kuala Lumpur,2025-11-27,First,624875
TRP-1582698,T.Qureshi,H#366 St-6 UniversityTown Peshawar,Kuala Lumpur,2025-12-09,First,459215
TRP-8251085,Taimoor قریشی,"House No. 366, Gali 6, University Town, Peshawar",Baku,2025-08-08,Business,349986
TRP-7555631,Haji Ibrahim Sandhu,H#210 St-22 ModelTown Lahore,Karachi,2025-06-21,Economy,89235
TRP-3506902,S. Shirazi,"House 159, Street 36, Cantt, Multan",London,2024-01-07,Business,1281667
TRP-5544401,Rana Shahzad Shirazi,H#159 St-36 Cantt Multan,Kuala Lumpur,2026-01-12,Business,614402
TRP-2260050,Sardar Shahzad Shirazi,"House 159, Street 36, Cantt, Multan",Istanbul,2026-04-06,First,473118
TRP-2598563,Umar Gondal,مکان 40 گلی 19 Bahria Phase 4 راولپنڈی,London,2025-12-29,Business,915300
TRP-4688768,Umar Gondal,"House 40, Street 19, Bahria Phase 4, Rawalpindi",Istanbul,2024-01-16,First,361221
TRP-6963830,U. Gondal,مکان 40 گلی 19 Bahria Phase 4 راولپنڈی,Istanbul,2024-12-26,First,421091
TRP-4582498,Umar Gondal,مکان 40 گلی 19 Bahria Phase 4 راولپنڈی,London,2024-05-05,First,897667
TRP-5641038,Umar Gondal,H#40 St-19 BahriaPhase4 Rawalpindi,London,2025-09-29,First,1257570
TRP-6608829,Syed Jawad Janjua,"House 192, Street 15, Clifton Block 2, Karachi",Dubai,2024-11-11,First,339230
TRP-7923925,Haji Jawad Janjua,H#192 St-15 CliftonBlock2 Karachi,London,2026-02-15,Business,918005
TRP-1214182,Jawad Janjua,"House 192, Street 15, Clifton Block 2, Karachi",Kuala Lumpur,2026-01-13,First,410945
TRP-5195801,J.Janjua,"House 192, Street 15, Clifton Block 2, Karachi",Baku,2024-11-15,Business,321812
TRP-4760977,Jawad Janjua,"House 192, Street 15, Clifton Block 2, Karachi",Baku,2025-01-25,First,374553
TRP-7390274,J.Janjua,H#192 St-15 CliftonBlock2 Karachi,Kuala Lumpur,2025-01-31,First,435590
TRP-8113716,Adnan Zaidi,مکان 271 گلی 28 Gulgasht Multan,Skardu,2024-02-05,Economy,116250
TRP-7371564,Rana Pervez Afridi,"House 235, Street 5, Gulbahar, Peshawar",Kuala Lumpur,2025-12-14,First,619841
TRP-8964456,P. Afridi,مکان 235 گلی 5 Gulbahar Peshawar,Dubai,2026-04-02,First,317374
TRP-7481438,P. Afridi,H#235 St-5 Gulbahar Peshawar,Dubai,2026-04-10,First,488243
TRP-2734089,Pervez Afridi,H#235 St-5 Gulbahar Peshawar,Istanbul,2025-02-21,First,474296
TRP-8582557,Pervez Afridi,H#235 St-5 Gulbahar Peshawar,Kuala Lumpur,2024-10-25,First,519179
TRP-4529481,Chaudhary Madiha Abbasi,"House No. 1, Gali 40, Model Town, Lahore",Kuala Lumpur,2025-11-15,Business,502394
TRP-8840700,Madiha Abbasi,مکان 1 گلی 40 Model Town لاہور,London,2025-04-26,First,1018137
TRP-2014393,M.Abbasi,"House 1, Street 40, Model Town, Lahore",Baku,2025-10-13,Business,438580
TRP-4059047,M. Abbasi,مکان 1 گلی 40 Model Town لاہور,Kuala Lumpur,2024-08-11,Business,419757
TRP-8746388,Mian Madiha Abbasi,"House No. 1, Gali 40, Model Town, Lahore",Baku,2025-11-19,Business,391477
TRP-7542448,Malik Kamran Naqvi,"House 260, Street 36, D Ground, Faisalabad",London,2025-03-14,First,1200360
TRP-9431822,Mian Kamran Naqvi,"House No. 260, Gali 36, D Ground, Faisalabad",Istanbul,2024-02-12,First,599094
TRP-4617370,Kamran Naqvi,H#260 St-36 DGround Faisalabad,Kuala Lumpur,2024-07-09,Business,517391
TRP-8310064,Kamran Naqvi,"House No. 260, Gali 36, D Ground, Faisalabad",Istanbul,2024-06-07,First,501021
TRP-3083695,Malik Kamran Naqvi,H#260 St-36 DGround Faisalabad,Dubai,2026-05-03,Business,502007
TRP-7747887,K.Naqvi,H#260 St-36 DGround Faisalabad,Kuala Lumpur,2024-08-12,Business,663122
TRP-9930441,Jawad Sandhu,"House No. 294, Gali 9, Clifton Block 2, Karachi",Kuala Lumpur,2024-10-17,First,534521
TRP-8596820,J.Sandhu,مکان 294 گلی 9 Clifton Block 2 کراچی,Baku,2024-10-06,Business,399133
TRP-3042377,حسن Saddozai,H#266 St-25 Westridge Rawalpindi,Dubai,2025-08-13,Business,352780
TRP-3288452,Haji Hassan Saddozai,مکان 266 گلی 25 Westridge راولپنڈی,Jeddah,2024-02-23,Business,438524
TRP-9153230,حسن Saddozai,"House 266, Street 25, Westridge, Rawalpindi",London,2025-01-31,Business,884195
TRP-9253380,Rana Hassan Saddozai,"House No. 266, Gali 25, Westridge, Rawalpindi",Baku,2025-05-22,Business,265034
TRP-6531488,Syed Hassan Saddozai,مکان 266 گلی 25 Westridge راولپنڈی,Istanbul,2024-11-29,First,512274
TRP-7238439,H.Saddozai,مکان 266 گلی 25 Westridge راولپنڈی,Jeddah,2024-01-03,Business,542013
TRP-9479318,Farah Gill,مکان 282 گلی 35 Cantt Multan,Dubai,2025-01-07,Business,326371
TRP-9870866,Mian Farah Gill,مکان 282 گلی 35 Cantt Multan,Dubai,2025-11-01,First,429536
TRP-7070827,Farah Gill,"House No. 282, Gali 35, Cantt, Multan",Baku,2026-05-17,Business,347250
TRP-4023092,Syed Farah Gill,مکان 282 گلی 35 Cantt Multan,Jeddah,2024-04-25,First,376245
TRP-4250427,Farah Gill,"House No. 282, Gali 35, Cantt, Multan",Kuala Lumpur,2024-01-07,First,522646
TRP-8936786,Ibrahim Kazmi,H#103 St-9 SatelliteTown Rawalpindi,Baku,2025-04-10,First,276983
TRP-6976827,I.Kazmi,مکان 103 گلی 9 Satellite Town راولپنڈی,Dubai,2025-08-15,Business,370119
TRP-3005179,F.Awan,"House No. 231, Gali 30, DHA Phase 5, Lahore",Istanbul,2024-08-26,First,581559
TRP-3461593,Faisal Awan,مکان 231 گلی 30 DHA Phase 5 لاہور,Dubai,2026-02-03,First,397790
TRP-4085936,Rana Faisal Awan,H#231 St-30 DHAPhase5 Lahore,Dubai,2025-07-19,Business,493743
TRP-8897047,Faisal Awan,مکان 231 گلی 30 DHA Phase 5 لاہور,Jeddah,2026-05-17,First,417028
TRP-8617079,F.Awan,مکان 231 گلی 30 DHA Phase 5 لاہور,Dubai,2024-12-29,Business,409789
TRP-4972084,Faisal Awan,"House 231, Street 30, DHA Phase 5, Lahore",Jeddah,2024-02-28,First,501113
TRP-1753024,Yasir Mehsud,مکان 233 گلی 5 Gulshan-e-Iqbal کراچی,Istanbul,2025-03-10,First,534221
TRP-9807052,Y.Mehsud,مکان 233 گلی 5 Gulshan-e-Iqbal کراچی,Jeddah,2025-07-08,Business,459096
TRP-6561358,E. Shirazi,مکان 368 گلی 21 Chaklala Scheme 3 راولپنڈی,Istanbul,2024-02-24,Business,495537
TRP-9236936,Haji Ehsan Shirazi,"House 368, Street 21, Chaklala Scheme 3, Rawalpindi",Istanbul,2024-04-26,Business,485217
TRP-3845703,A. Niazi,H#47 St-26 CliftonBlock2 Karachi,Baku,2025-08-06,First,255773
TRP-8462902,A. Niazi,"House No. 47, Gali 26, Clifton Block 2, Karachi",Dubai,2024-08-22,First,385069
TRP-6712992,Haji Anas Niazi,"House 47, Street 26, Clifton Block 2, Karachi",Dubai,2026-01-08,Business,392394
TRP-9816250,Anas Niazi,"House 47, Street 26, Clifton Block 2, Karachi",London,2025-03-28,First,828388
TRP-7261430,I.Hashmi,H#345 St-31 DGround Faisalabad,Jeddah,2025-08-02,Business,496860
TRP-4130926,Rida Sandhu,مکان 188 گلی 3 University Town Peshawar,Baku,2025-11-15,First,440137
TRP-7985065,Mian Rida Sandhu,"House 188, Street 3, University Town, Peshawar",Dubai,2024-11-16,Business,478566
TRP-3475502,Haji Luqman Kazmi,H#320 St-40 Gulshan-e-Iqbal Karachi,Karachi,2025-02-06,Economy,69587
TRP-5854314,Madiha Cheema,مکان 266 گلی 30 University Town Peshawar,Lahore,2025-11-13,Economy,59708
TRP-8844678,Waqas Warraich,"House No. 154, Gali 38, D Ground, Faisalabad",Istanbul,2024-01-08,First,595685
TRP-1055306,W.Warraich,مکان 154 گلی 38 D Ground Faisalabad,Jeddah,2026-01-10,First,462886
TRP-3388446,H. Shirazi,H#336 St-38 Gulshan-e-Iqbal Karachi,Baku,2024-09-24,Business,336862
TRP-9168229,حسن Shirazi,مکان 336 گلی 38 Gulshan-e-Iqbal کراچی,Jeddah,2024-02-10,Business,541229
TRP-6609114,Pervez Abbasi,"House 211, Street 33, DHA Phase 6, Karachi",Lahore,2024-01-28,Economy,40106
TRP-6730804,Shoaib Niazi,"House 361, Street 14, University Town, Peshawar",Istanbul,2025-10-22,First,555357
TRP-5706837,Shoaib Niazi,"House 361, Street 14, University Town, Peshawar",London,2025-05-25,First,1220632
TRP-1671929,S. Niazi,"House 361, Street 14, University Town, Peshawar",Jeddah,2024-12-22,First,521799
TRP-8771943,Naveed Qureshi,"House No. 301, Gali 16, D Ground, Faisalabad",Istanbul,2025-11-06,First,398273
TRP-8777595,N. Qureshi,H#301 St-16 DGround Faisalabad,Dubai,2024-11-11,First,447515
TRP-9101459,Syed Naveed Qureshi,"House 301, Street 16, D Ground, Faisalabad",Kuala Lumpur,2026-02-11,Business,569433
TRP-2115038,Obaid Cheema,"House 52, Street 9, Shah Rukn-e-Alam, Multan",Jeddah,2025-10-17,Business,329858
TRP-9200706,Obaid Cheema,H#52 St-9 ShahRukn-e-Alam Multan,Dubai,2026-01-24,First,445287
