fbr_id,full_name,declared_income_pkr,tax_paid_pkr,filer_status,reported_address,phone_number
FBR-100107,N. Chaudhry,768696,20019,Filer,H#107 St-38 Gulbahar Peshawar,+92 301 4421652
FBR-100108,Sardar Muhammad Lodhi,403644,12746,Filer,"House No. 67, Gali 35, Hayatabad Phase 3, Peshawar",03222844258
FBR-100109,احمد Gill,3608448,119720,Filer,"302-21 Hayatabad Phase 3, Peshawar",03091605663
FBR-100112,Hafsa Qureshi,3005880,247245,Filer,"House 38, Street 6, North Nazimabad, Karachi",03156665078
FBR-100113,Khalid Shirazi,2312808,117324,Filer,"House 233, Street 33, Madina Town, Faisalabad",03462663938
FBR-100114,R. Joiya,43075968,1645948,Filer,H#174 St-30 Westridge Rawalpindi,+92 336 2595275
FBR-100115,Chaudhary Kashif Sandhu,0,0,Filer,"House No. 35, Gali 6, Westridge, Rawalpindi",03017940102
FBR-100116,Mian Nadia Sheikh,632604,25657,Filer,"House No. 288, Gali 22, D Ground, Faisalabad",0335-8300156
FBR-100117,N. Sheikh,3993672,271887,Filer,H#160 St-23 WapdaTown Lahore,0309-9512969
FBR-100118,Shoaib قریشی,788940,31707,Filer,"189-8 Wapda Town, Lahore",+92 329 4794319
FBR-100119,Mehwish Mehsud,0,0,Non-Filer,"14-39 Gulgasht, Multan",03393092024
FBR-100120,F. Khan,529176,28638,Filer,H#290 St-26 BahriaPhase4 Rawalpindi,0302-1514340
FBR-100121,Pervez Khokhar,1273068,28956,Filer,"House 190, Street 20, Johar Town, Lahore",0329-2425342
FBR-100122,G. Raja,4183404,144832,Filer,H#339 St-28 ModelTown Lahore,+92 339 8416270
FBR-100123,Fahad Gill,1304652,44131,Filer,"House 146, Street 38, Clifton Block 2, Karachi",0338-6174418
FBR-100124,Haji Muhammad Dar,3669444,212184,Filer,"House No. 393, Gali 9, Johar Town, Lahore",03347199669
FBR-100125,S. Awan,1077900,56026,Filer,H#257 St-36 DHAPhase6 Karachi,03384652279
FBR-100126,Ubaid چوہدری,1091208,97480,Filer,"295-28 University Town, Peshawar",+92 346 8007741
FBR-100127,Syed Atif Mughal,29755296,1767516,Filer,"House No. 236, Gali 24, Gulbahar, Peshawar",0306-2776088
FBR-100128,Haji Hina Raja,15339144,1181461,Filer,"House No. 382, Gali 22, Gulshan-e-Iqbal, Karachi",0315-3820798
FBR-100129,H. Kazmi,1921764,62219,Filer,H#180 St-10 ChaklalaScheme3 Rawalpindi,+92 311 3456926
FBR-100130,Syed Zara Chaudhry,3726744,106498,Filer,"House No. 238, Gali 37, Westridge, Rawalpindi",03476422534
FBR-100131,Kamran Rajput,3803196,186808,Filer,"141-38 Gulshan-e-Iqbal, Karachi",0305-9511700
FBR-100132,حسین شیخ,37499652,2877921,Filer,"40-6 Gulberg III, Lahore",+92 308 2554284
FBR-100133,U. Joiya,1349268,42398,Filer,H#334 St-13 Gulbahar Peshawar,03298979730
FBR-100134,Malik Taimoor Qureshi,0,0,Non-Filer,"House No. 366, Gali 6, University Town, Peshawar",0342-1656695
FBR-100135,I. Sandhu,3392040,214737,Filer,H#210 St-22 ModelTown Lahore,0340-6614484
FBR-100136,I.Kayani,3425976,158529,Filer,مکان 309 گلی 10 Gulgasht Multan,+92 321 3372774
FBR-100137,S.Shirazi,0,0,Non-Filer,مکان 159 گلی 36 Cantt Multan,03353144023
FBR-100139,Umar Gondal,0,0,Non-Filer,"40-19 Bahria Phase 4, Rawalpindi",03164577018
FBR-100140,I.Virk,2454408,177310,Filer,مکان 93 گلی 40 Bahria Phase 4 راولپنڈی,+92 317 1733037
FBR-100141,S.Yousafzai,3731988,314538,Filer,مکان 120 گلی 35 Model Town لاہور,0314-8868776
FBR-100142,Haji Wajahat Kakar,2532876,53848,Filer,"House No. 258, Gali 34, Model Town, Lahore",03324350371
FBR-100143,Sardar Bilal Khattak,514524,18051,Filer,"House No. 284, Gali 7, Gulshan-e-Iqbal, Karachi",0341-5782563
FBR-100144,T. Kazmi,4118352,345901,Filer,H#47 St-15 Westridge Rawalpindi,+92 335 1447451
FBR-100145,J. Janjua,0,0,Non-Filer,H#192 St-15 CliftonBlock2 Karachi,03052662338
FBR-100146,Naveed Butt,2316780,169860,Filer,"House 357, Street 9, Model Town, Lahore",0337-1088100
FBR-100147,Malik Adnan Zaidi,2460120,181496,Filer,"House No. 271, Gali 28, Gulgasht, Multan",+92 304 4986941
FBR-100148,Pervez Afridi,0,0,Non-Filer,"235-5 Gulbahar, Peshawar",03444565798
FBR-100151,A. Gill,3089952,271401,Filer,H#177 St-16 HayatabadPhase3 Peshawar,+92 307 2968629
FBR-100152,U.Ansari,659928,18947,Filer,مکان 238 گلی 31 Gulbahar Peshawar,03122058651
FBR-100153,Chaudhary Hussain Mirza,727056,41809,Filer,"House No. 103, Gali 3, Satellite Town, Rawalpindi",+92 324 9646701
FBR-100154,Yousuf Kayani,3275376,280307,Filer,"98-19 B-17, Islamabad",+92 320 6568772
FBR-100155,Rauf Warraich,708372,49465,Filer,"House 198, Street 22, Shah Rukn-e-Alam, Multan",+92 317 9347057
FBR-100157,Rana Bushra Mirza,3178104,156120,Filer,"House No. 309, Gali 28, Model Town, Lahore",0306-8153327
FBR-100158,M.Sial,3716736,106576,Filer,مکان 39 گلی 26 DHA Phase 5 لاہور,0328-3684131
FBR-100160,J. Sandhu,0,0,Filer,H#294 St-9 CliftonBlock2 Karachi,+92 345 7677903
FBR-100161,حسن Saddozai,0,0,Non-Filer,"266-25 Westridge, Rawalpindi",+92 341 5391883
FBR-100163,F. Gill,0,0,Non-Filer,H#282 St-35 Cantt Multan,03243642499
FBR-100164,Chaudhary Ibrahim Kazmi,28167900,1737218,Filer,"House No. 103, Gali 9, Satellite Town, Rawalpindi",+92 317 1440972
FBR-100165,Wajahat Zaidi,752112,19849,Filer,"House 34, Street 20, Satellite Town, Rawalpindi",+92 337 9819709
FBR-100166,Faisal Awan,0,0,Filer,"House 231, Street 30, DHA Phase 5, Lahore",03453153097
FBR-100167,Rauf Kazmi,2378532,128842,Filer,"64-34 Hayatabad Phase 3, Peshawar",0314-3762487
FBR-100169,Syed Ayesha Khattak,2625060,174079,Filer,"House No. 88, Gali 40, Bahria Phase 4, Rawalpindi",0345-1691125
FBR-100170,Z.Dar,679800,53773,Filer,مکان 214 گلی 40 Gulbahar Peshawar,03075859883
FBR-100172,Ehsan Shirazi,14944404,768877,Filer,"House 368, Street 21, Chaklala Scheme 3, Rawalpindi",+92 337 5005695
FBR-100173,S.Janjua,3376860,122083,Filer,مکان 137 گلی 29 Clifton Block 2 کراچی,0319-4708239
FBR-100174,Rana Mehwish Tarar,667116,16914,Filer,"House No. 168, Gali 37, Bahria Phase 4, Rawalpindi",+92 323 3673322
FBR-100175,A.Niazi,0,0,Non-Filer,مکان 47 گلی 26 Clifton Block 2 کراچی,0324-2780987
FBR-100176,I. Hashmi,22911348,1681192,Filer,H#345 St-31 DGround Faisalabad,0328-1137194
FBR-100177,R. Sandhu,13300968,1024318,Filer,H#188 St-3 UniversityTown Peshawar,03043684897
FBR-100178,Luqman Kazmi,3093336,173897,Filer,"House 320, Street 40, Gulshan-e-Iqbal, Karachi",+92 311 7028119
FBR-100180,M.Cheema,2964012,194202,Filer,مکان 266 گلی 30 University Town Peshawar,0319-9648751
FBR-100181,Waqas Warraich,37932900,2756655,Filer,"154-38 D Ground, Faisalabad",03196352982
FBR-100182,Mubashir Rajput,794868,55087,Filer,"189-22 Hayatabad Phase 3, Peshawar",03066161977
FBR-100183,حسن Shirazi,35985468,2987359,Filer,"336-38 Gulshan-e-Iqbal, Karachi",03431861596
FBR-100184,S. Durrani,2933580,75136,Filer,H#76 St-16 MadinaTown Faisalabad,0309-2843740
FBR-100186,Nadia Bhatti,3188976,185917,Filer,"270-25 Shah Rukn-e-Alam, Multan",03228711874
FBR-100187,Gul Kakar,2837988,107579,Filer,"House 349, Street 17, Gulbahar, Peshawar",0347-4225657
FBR-100188,Malik Shoaib Niazi,45922548,3119255,Filer,"House No. 361, Gali 14, University Town, Peshawar",+92 335 9049765
FBR-100190,M.Raja,2668884,229579,Filer,مکان 336 گلی 17 Model Town لاہور,03334390138
FBR-100191,Rana Naveed Qureshi,0,0,Filer,"House No. 301, Gali 16, D Ground, Faisalabad",0310-9909397
FBR-100192,Obaid Cheema,0,0,Non-Filer,"House 52, Street 9, Shah Rukn-e-Alam, Multan",+92 308 3649811
FBR-100194,S.Tarar,1635072,62979,Filer,مکان 19 گلی 26 Hayatabad Phase 3 Peshawar,0332-5856449
FBR-100195,Babar Mirza,3847236,174019,Filer,"House 69, Street 33, North Nazimabad, Karachi",0323-8299160
FBR-100197,Q. Kazmi,305364,23092,Filer,H#206 St-7 DHAPhase5 Lahore,+92 312 9010350
FBR-100198,N. Virk,0,0,Filer,H#386 St-18 Westridge Rawalpindi,+92 324 1191859
FBR-100199,عمران Wazir,2816208,164905,Filer,"158-11 E-11/2, Islamabad",03386217344
FBR-100200,Jawad Yousafzai,0,0,Non-Filer,"69-31 Bahria Phase 4, Rawalpindi",+92 332 5162555
FBR-100201,Maryam Wazir,27809220,1426444,Filer,"391-16 Hayatabad Phase 3, Peshawar",+92 341 9816538
FBR-100203,Sardar Fahad Mehsud,32591412,665998,Filer,"House No. 47, Gali 33, Westridge, Rawalpindi",0330-8607331
FBR-100204,R.Sheikh,0,0,Non-Filer,مکان 345 گلی 20 Madina Town Faisalabad,0306-5269083
FBR-100205,عثمان Sial,16416348,939415,Filer,"278-4 DHA Phase 5, Lahore",+92 307 1532422
FBR-100206,Uzma Durrani,0,0,Filer,"192-25 Shah Rukn-e-Alam, Multan",0336-7302286
FBR-100207,Zara Gill,534636,45445,Filer,"276-26 F-8/3, Islamabad",0342-4736121
FBR-100208,W. Mehsud,2694228,210847,Filer,H#218 St-35 Gulgasht Multan,0320-2647890
FBR-100209,Umar Durrani,1171236,32413,Filer,"House 17, Street 27, Hayatabad Phase 3, Peshawar",03295067139
FBR-100211,عمران Awan,1861308,92099,Filer,"120-37 Madina Town, Faisalabad",0329-6379867
FBR-100212,Sardar Bushra Naqvi,0,0,Non-Filer,"House No. 154, Gali 18, Westridge, Rawalpindi",+92 321 9383533
FBR-100213,B.Gill,2116860,75230,Filer,مکان 196 گلی 34 Gulgasht Multan,03444529282
FBR-100214,Maryam Rajput,16349100,508763,Filer,"154-10 Bahria Phase 4, Rawalpindi",+92 330 7923579
FBR-100215,Luqman Janjua,0,0,Filer,"170-6 Johar Town, Lahore",03352551288
FBR-100217,Mubashir خان,734172,49694,Filer,"380-8 Bahria Phase 4, Rawalpindi",+92 333 4431161
FBR-100218,Atif Kakar,34628784,2508889,Filer,"239-35 Model Town, Lahore",+92 324 5388275
FBR-100219,Chaudhary Wajahat Qureshi,2352132,60907,Filer,"House No. 241, Gali 21, Gulbahar, Peshawar",03328626291
FBR-100220,R.Malik,3349740,216602,Filer,مکان 300 گلی 38 Wapda Town لاہور,+92 331 2488398
FBR-100221,Rabia Janjua,433104,11687,Filer,"132-32 Gulshan-e-Iqbal, Karachi",03373822492
FBR-100222,Naveed Durrani,825504,70365,Filer,"95-35 Madina Town, Faisalabad",0308-1567468
FBR-100223,B. Tareen,28383804,1284459,Filer,H#71 St-15 E-11/2 Islamabad,0302-1153368
FBR-100224,I. Yousafzai,10196472,531806,Filer,H#316 St-31 Gulgasht Multan,03301110936
FBR-100225,Ali Naqvi,1565952,59938,Filer,"House 275, Street 19, Shah Rukn-e-Alam, Multan",+92 308 4695034
FBR-100226,H.Abbasi,3514500,313300,Filer,مکان 318 گلی 34 Bahria Phase 4 راولپنڈی,+92 330 8143297
FBR-100227,U.Gilani,3954756,240020,Filer,مکان 154 گلی 6 Bahria Phase 4 راولپنڈی,03203328562
FBR-100228,Imran Afridi,374988,8462,Filer,"House 88, Street 6, B-17, Islamabad",03366557798
FBR-100229,H. Butt,0,0,Non-Filer,H#355 St-37 BahriaPhase4 Rawalpindi,0334-1781180
FBR-100230,Saad Bhatti,38122728,2581910,Filer,"301-10 F-8/3, Islamabad",0331-6021033
FBR-100231,L. Mehsud,2420520,151473,Filer,H#197 St-9 MadinaTown Faisalabad,0308-6802559
FBR-100232,F.Cheema,27508560,2286934,Filer,مکان 305 گلی 26 D Ground Faisalabad,0313-9515926
FBR-100233,Sadia Virk,0,0,Non-Filer,"House 349, Street 38, DHA Phase 6, Karachi",0331-5955645
FBR-100234,A.Virk,2899440,83345,Filer,مکان 79 گلی 25 Gulgasht Multan,0325-2787627
FBR-100235,Sufyan Sandhu,35391984,1756682,Filer,"House 53, Street 9, University Town, Peshawar",+92 302 8230636
FBR-100236,Syed Obaid Qureshi,3563460,172066,Filer,"House No. 182, Gali 36, G-10/2, Islamabad",+92 309 6443037
FBR-100237,L.Kakar,1833504,148979,Filer,مکان 287 گلی 16 B-17 اسلام آباد,03483845129
FBR-100238,S.Niazi,1443936,65551,Filer,مکان 75 گلی 5 Model Town لاہور,0306-3515004
FBR-100239,Ibrahim Kayani,3449472,73448,Filer,"House 305, Street 40, Westridge, Rawalpindi",0317-2794698
FBR-100241,Z. Bhatti,3432132,292102,Filer,H#164 St-19 Westridge Rawalpindi,+92 339 5067204
FBR-100242,I.Siddiqui,45253272,1406724,Filer,مکان 304 گلی 35 Peoples Colony Faisalabad,03181451577
FBR-100243,Noman Joiya,2549724,112816,Filer,"House 355, Street 5, University Town, Peshawar",03373335038
FBR-100244,Bushra Abbasi,35098644,2703379,Filer,"194-5 Shah Rukn-e-Alam, Multan",03196115729
FBR-100245,J.Tarar,0,0,Non-Filer,مکان 185 گلی 35 Peoples Colony Faisalabad,0341-2834914
FBR-100246,Malik Uzma Yousafzai,2356704,65150,Filer,"House No. 331, Gali 26, G-13/1, Islamabad",03243111457
FBR-100247,F.Saddozai,43803144,3456420,Filer,مکان 298 گلی 37 D Ground Faisalabad,0303-6196614
FBR-100248,M. Orakzai,367512,18614,Filer,H#177 St-2 PeoplesColony Faisalabad,+92 331 5956530
FBR-100249,F.Durrani,1574184,113588,Filer,مکان 160 گلی 22 Chaklala Scheme 3 راولپنڈی,+92 333 9742856
FBR-100250,Syed Sufyan Durrani,809580,48689,Filer,"House No. 164, Gali 5, Shah Rukn-e-Alam, Multan",0320-2930810
FBR-100251,Asad Mehsud,32855940,812848,Filer,"380-16 Hayatabad Phase 3, Peshawar",+92 342 3686631
FBR-100252,D.Warraich,0,0,Non-Filer,مکان 96 گلی 28 Cantt Multan,+92 330 4310554
FBR-100253,Haji Lubna Dar,3838656,90353,Filer,"House No. 386, Gali 5, Chaklala Scheme 3, Rawalpindi",+92 341 4136665
FBR-100254,F. Kayani,3174492,74400,Filer,H#271 St-21 ShahRukn-e-Alam Multan,03275719224
FBR-100255,U.Yousafzai,1695768,133333,Filer,مکان 315 گلی 38 Chaklala Scheme 3 راولپنڈی,0302-6254384
FBR-100256,T.Sandhu,2128656,85470,Filer,مکان 262 گلی 25 Cantt Multan,+92 312 2277635
FBR-100257,M.Afridi,2939160,104534,Filer,مکان 331 گلی 12 D Ground Faisalabad,+92 342 9214830
FBR-100258,T. Yousafzai,34512648,2107193,Filer,H#5 St-32 I-8/4 Islamabad,+92 322 2856611
FBR-100259,O.Mehsud,2347440,180400,Filer,مکان 364 گلی 29 North Nazimabad کراچی,03322386982
FBR-100260,Zubair بٹ,38425632,2071516,Filer,"276-19 Johar Town, Lahore",03179309978
FBR-100261,Fahad Lodhi,2517324,62592,Filer,"House 188, Street 35, Gulbahar, Peshawar",+92 307 4666525
FBR-100262,Mubashir Butt,762360,47394,Filer,"House 179, Street 6, Gulshan-e-Iqbal, Karachi",+92 327 6520427
FBR-100263,Chaudhary Javeria Gill,346680,25857,Filer,"House No. 313, Gali 28, Gulbahar, Peshawar",0319-3335975
FBR-100264,Rabia Gill,35491344,981881,Filer,"House 306, Street 35, Madina Town, Faisalabad",+92 315 5909595
FBR-100265,G.Qureshi,0,0,Non-Filer,مکان 31 گلی 18 Westridge راولپنڈی,0312-5188889
FBR-100266,G.Warraich,0,0,Filer,مکان 296 گلی 18 DHA Phase 6 کراچی,0315-7325356
FBR-100267,Nasir Kazmi,1545996,129188,Filer,"House 356, Street 24, Shah Rukn-e-Alam, Multan",03376491002
FBR-100268,Rida Khokhar,466596,16637,Filer,"House 358, Street 23, Gulgasht, Multan",0308-7672565
FBR-100269,A.Lodhi,338064,15571,Filer,مکان 173 گلی 36 Gulberg III لاہور,+92 342 9142618
FBR-100270,Usman Qureshi,636432,28135,Filer,"House 9, Street 8, Shah Rukn-e-Alam, Multan",0317-8659103
FBR-100271,H.Orakzai,2001384,50807,Filer,مکان 82 گلی 18 Chaklala Scheme 3 راولپنڈی,0305-5200835
FBR-100272,Haji Bilal Warraich,1450344,105563,Filer,"House No. 372, Gali 15, Shah Rukn-e-Alam, Multan",0331-2596917
FBR-100273,Shahzad Bukhari,1405608,110698,Filer,"5-1 Westridge, Rawalpindi",03218085252
FBR-100275,U.Mehsud,2300424,156381,Filer,مکان 272 گلی 37 Satellite Town راولپنڈی,+92 309 3753418
FBR-100276,S.Saddozai,763656,36160,Filer,مکان 316 گلی 29 Westridge راولپنڈی,0341-4541364
