vehicle_reg_no,owner_name,engine_capacity_cc,vehicle_make_model,registration_year,owner_address
KAR-677,S.Tarar,660,Suzuki Alto,2023,مکان 378 گلی 22 F-8/3 اسلام آباد
RIR-5933,K.Butt,1000,Suzuki Cultus,2025,مکان 114 گلی 13 University Town Peshawar
LEA-8399,B. Malik,1800,Toyota Corolla Altis,2025,H#92 St-38 I-8/4 Islamabad
KAR-9656,B. Malik,2000,Audi e-tron,2018,H#92 St-38 I-8/4 Islamabad
LEA-4080,S.Sial,2700,Toyota Fortuner,2022,مکان 60 گلی 25 D Ground Faisalabad
ICT-1923,S.Sial,1500,Honda Civic RS,2019,مکان 60 گلی 25 D Ground Faisalabad
KAR-287,S.Sial,2700,Toyota Fortuner,2020,مکان 60 گلی 25 D Ground Faisalabad
LEA-9595,I.Sial,70,Honda CD-70,2023,مکان 170 گلی 40 B-17 اسلام آباد
AFR-3881,A.Warraich,2700,Toyota Prado TX,2025,مکان 284 گلی 9 Shah Rukn-e-Alam Multan
KAR-7595,Haji Nasir Zaidi,2000,Mercedes C200,2023,"House No. 156, Gali 19, Hayatabad Phase 3, Peshawar"
ICT-6453,Mian Nasir Zaidi,1500,Honda Civic RS,2020,"House No. 156, Gali 19, Hayatabad Phase 3, Peshawar"
RIR-9719,Sardar Nasir Zaidi,3300,Toyota Land Cruiser ZX,2024,"House No. 156, Gali 19, Hayatabad Phase 3, Peshawar"
LEA-950,G.Niazi,800,Suzuki Mehran,2019,مکان 76 گلی 2 Bahria Phase 4 راولپنڈی
LEA-5687,U.Tarar,2000,Hyundai Tucson,2024,مکان 100 گلی 25 Gulgasht Multan
RIR-2403,U.Tarar,2000,Audi e-tron,2026,مکان 100 گلی 25 Gulgasht Multan
AFR-5730,U.Tarar,2000,Hyundai Tucson,2020,مکان 100 گلی 25 Gulgasht Multan
KAR-6900,H.Zaidi,3300,Toyota Land Cruiser ZX,2019,مکان 387 گلی 29 Madina Town Faisalabad
KAR-8019,Rana Yousuf Joiya,2000,Audi e-tron,2019,"House No. 327, Gali 18, Johar Town, Lahore"
RIR-3233,I.Janjua,1300,Toyota Corolla GLi,2021,مکان 164 گلی 35 Gulberg III لاہور
KAR-6357,Rana Pervez Rizvi,2000,Hyundai Tucson,2019,"House No. 280, Gali 39, Gulgasht, Multan"
RIR-4387,Syed Pervez Rizvi,2000,Hyundai Tucson,2019,"House No. 280, Gali 39, Gulgasht, Multan"
RIR-2984,R. Khokhar,1500,Honda Civic RS,2020,H#390 St-25 GulbergIII Lahore
KAR-8172,R. Khokhar,1800,Toyota Corolla Altis,2026,H#390 St-25 GulbergIII Lahore
ICT-7192,R. Khokhar,2000,Hyundai Tucson,2024,H#390 St-25 GulbergIII Lahore
RIR-780,Mian Junaid Shirazi,660,Suzuki Alto,2019,"House No. 368, Gali 8, D Ground, Faisalabad"
RIR-6941,Amna Mehsud,1800,Toyota Corolla Altis,2017,"367-13 North Nazimabad, Karachi"
AFR-6087,Rabia بٹ,1300,Toyota Corolla GLi,2020,"220-24 Wapda Town, Lahore"
KAR-1695,W. Sial,1300,Toyota Corolla GLi,2023,H#304 St-18 Gulbahar Peshawar
RIR-4547,Wajahat Gilani,2000,Audi e-tron,2023,"House 195, Street 22, D Ground, Faisalabad"
LEA-8488,Wajahat Gilani,2000,Audi e-tron,2026,"House 195, Street 22, D Ground, Faisalabad"
LEA-5985,Wajahat Gilani,2000,Mercedes C200,2018,"House 195, Street 22, D Ground, Faisalabad"
LEA-2665,Javeria Janjua,660,Suzuki Alto,2022,"House 189, Street 31, Wapda Town, Lahore"
LEA-7089,Sardar Umar Mirza,1000,Suzuki Cultus,2024,"House No. 92, Gali 20, Chaklala Scheme 3, Rawalpindi"
KAR-9921,S.Mirza,2000,Audi e-tron,2021,مکان 327 گلی 32 Cantt Multan
AFR-8600,S.Mirza,2000,Audi e-tron,2026,مکان 327 گلی 32 Cantt Multan
LEA-6422,T. Sheikh,2700,Toyota Prado TX,2018,H#59 St-5 ModelTown Lahore
KAR-3956,T. Sheikh,2000,Mercedes C200,2018,H#59 St-5 ModelTown Lahore
LEA-1537,M.Bukhari,1800,Toyota Corolla Altis,2020,مکان 292 گلی 40 Gulshan-e-Iqbal کراچی
LEA-8797,M.Bukhari,2000,Hyundai Tucson,2021,مکان 292 گلی 40 Gulshan-e-Iqbal کراچی
AFR-939,M.Bukhari,2000,Audi e-tron,2025,مکان 292 گلی 40 Gulshan-e-Iqbal کراچی
KAR-1495,Lubna Mirza,1200,Honda City,2022,"37-15 Shah Rukn-e-Alam, Multan"
LEA-5918,Kinza Warraich,2000,Audi e-tron,2024,"277-32 Wapda Town, Lahore"
KAR-2933,Hassan Raja,2000,Hyundai Tucson,2020,"House 392, Street 18, Satellite Town, Rawalpindi"
KAR-1731,Haji Waseem Ansari,660,Suzuki Alto,2023,"House No. 326, Gali 32, Madina Town, Faisalabad"
AFR-6783,W.Cheema,660,Suzuki Alto,2026,مکان 148 گلی 26 North Nazimabad کراچی
RIR-3950,Fahad Kakar,2000,Mercedes C200,2021,"337-35 Clifton Block 2, Karachi"
RIR-8241,Fahad Kakar,1500,Honda Civic RS,2019,"337-35 Clifton Block 2, Karachi"
AFR-6764,Anas Afridi,1300,Toyota Corolla GLi,2024,"105-18 Clifton Block 2, Karachi"
ICT-1886,Hamza ملک,2000,Mercedes C200,2019,"123-11 Gulgasht, Multan"
ICT-3460,Hamza ملک,2000,Hyundai Tucson,2025,"123-11 Gulgasht, Multan"
LEA-1030,Ehsan Kazmi,2000,Mercedes C200,2024,"House 145, Street 20, DHA Phase 5, Lahore"
KAR-1326,Farhan Cheema,1200,Honda City,2021,"House 194, Street 30, D Ground, Faisalabad"
ICT-6956,U. Bhatti,800,Suzuki Mehran,2022,H#362 St-25 ShahRukn-e-Alam Multan
RIR-6178,Zeeshan Joiya,1500,Honda Civic RS,2022,"House 234, Street 1, G-13/1, Islamabad"
LEA-3888,Syed Ehsan Yousafzai,2700,Toyota Fortuner,2018,"House No. 333, Gali 6, Shah Rukn-e-Alam, Multan"
AFR-6291,Sardar Ehsan Yousafzai,2000,Hyundai Tucson,2026,"House No. 333, Gali 6, Shah Rukn-e-Alam, Multan"
ICT-140,Sardar Ehsan Yousafzai,2000,Hyundai Tucson,2022,"House No. 333, Gali 6, Shah Rukn-e-Alam, Multan"
AFR-7050,S.Mughal,800,Suzuki Mehran,2017,مکان 15 گلی 3 Shah Rukn-e-Alam Multan
ICT-2041,Yasir Naqvi,2000,Mercedes C200,2024,"House 88, Street 12, DHA Phase 6, Karachi"
RIR-744,Danish Khokhar,2000,Mercedes C200,2022,"House 236, Street 17, Shah Rukn-e-Alam, Multan"
RIR-7377,Sufyan Gill,660,Suzuki Alto,2021,"House 328, Street 28, Madina Town, Faisalabad"
KAR-8483,Syed Asad Janjua,800,Suzuki Mehran,2025,"House No. 295, Gali 19, Gulshan-e-Iqbal, Karachi"
AFR-4161,G.Tareen,1000,Suzuki Cultus,2024,مکان 349 گلی 9 Gulgasht Multan
AFR-7653,R.Awan,70,Honda CD-70,2024,مکان 168 گلی 27 I-8/4 اسلام آباد
AFR-4791,Hina Kazmi,1300,Toyota Corolla GLi,2021,"House 132, Street 31, Johar Town, Lahore"
RIR-4995,U.Sandhu,1800,Toyota Corolla Altis,2022,مکان 345 گلی 17 Gulgasht Multan
AFR-6675,U.Sandhu,2700,Toyota Prado TX,2023,مکان 345 گلی 17 Gulgasht Multan
KAR-3677,N.Zaidi,70,Honda CD-70,2017,مکان 114 گلی 5 Wapda Town لاہور
RIR-6327,Syed Mubashir Hashmi,2000,Audi e-tron,2017,"House No. 121, Gali 35, G-10/2, Islamabad"
RIR-8151,R. Joiya,1300,Toyota Corolla GLi,2021,H#186 St-7 DHAPhase6 Karachi
LEA-3248,A.Gill,800,Suzuki Mehran,2022,مکان 302 گلی 21 Hayatabad Phase 3 Peshawar
AFR-7878,Hina Siddiqui,3300,Toyota Land Cruiser ZX,2022,"244-29 Cantt, Multan"
ICT-9265,Usman Durrani,800,Suzuki Mehran,2023,"House 267, Street 20, Gulbahar, Peshawar"
ICT-3566,H.Qureshi,1300,Toyota Corolla GLi,2026,مکان 38 گلی 6 North Nazimabad کراچی
AFR-7157,Rana Khalid Shirazi,1300,Toyota Corolla GLi,2024,"House No. 233, Gali 33, Madina Town, Faisalabad"
ICT-4513,R.Joiya,1800,Toyota Corolla Altis,2021,مکان 174 گلی 30 Westridge راولپنڈی
KAR-2554,Kashif Sandhu,2000,Hyundai Tucson,2025,"35-6 Westridge, Rawalpindi"
AFR-227,Nadia شیخ,1000,Suzuki Cultus,2018,"288-22 D Ground, Faisalabad"
KAR-309,N.Sheikh,660,Suzuki Alto,2024,مکان 160 گلی 23 Wapda Town لاہور
LEA-6892,M. Mehsud,1500,Honda Civic RS,2022,H#14 St-39 Gulgasht Multan
KAR-9603,F.Khan,2000,Audi e-tron,2020,مکان 290 گلی 26 Bahria Phase 4 راولپنڈی
ICT-9449,F.Khan,2000,Mercedes C200,2025,مکان 290 گلی 26 Bahria Phase 4 راولپنڈی
AFR-2632,F.Khan,3300,Toyota Land Cruiser ZX,2023,مکان 290 گلی 26 Bahria Phase 4 راولپنڈی
AFR-5716,Pervez Khokhar,1200,Honda City,2019,"190-20 Johar Town, Lahore"
RIR-2222,G.Raja,1000,Suzuki Cultus,2019,مکان 339 گلی 28 Model Town لاہور
LEA-1670,Muhammad Dar,1300,Toyota Corolla GLi,2022,"House 393, Street 9, Johar Town, Lahore"
RIR-474,Saad Awan,800,Suzuki Mehran,2018,"257-36 DHA Phase 6, Karachi"
AFR-9553,U.Chaudhry,1300,Toyota Corolla GLi,2025,مکان 295 گلی 28 University Town Peshawar
KAR-6035,Atif Mughal,3300,Toyota Land Cruiser ZX,2022,"236-24 Gulbahar, Peshawar"
ICT-7799,Atif Mughal,2700,Toyota Fortuner,2024,"236-24 Gulbahar, Peshawar"
ICT-977,Atif Mughal,2700,Toyota Fortuner,2018,"236-24 Gulbahar, Peshawar"
AFR-5017,Hina Raja,2000,Audi e-tron,2021,"House 382, Street 22, Gulshan-e-Iqbal, Karachi"
LEA-3930,Hina Raja,2000,Mercedes C200,2025,"House 382, Street 22, Gulshan-e-Iqbal, Karachi"
LEA-3006,Z.Chaudhry,660,Suzuki Alto,2018,مکان 238 گلی 37 Westridge راولپنڈی
LEA-8547,K. Rajput,660,Suzuki Alto,2022,H#141 St-38 Gulshan-e-Iqbal Karachi
KAR-1584,Hussain Sheikh,1500,Honda Civic RS,2026,"House 40, Street 6, Gulberg III, Lahore"
AFR-9409,Hussain Sheikh,3300,Toyota Land Cruiser ZX,2026,"House 40, Street 6, Gulberg III, Lahore"
LEA-6672,Hussain Sheikh,1800,Toyota Corolla Altis,2022,"House 40, Street 6, Gulberg III, Lahore"
ICT-3860,Taimoor Qureshi,2000,Hyundai Tucson,2017,"House 366, Street 6, University Town, Peshawar"
AFR-6171,Taimoor Qureshi,2000,Audi e-tron,2018,"House 366, Street 6, University Town, Peshawar"
RIR-8134,Taimoor Qureshi,2000,Audi e-tron,2018,"House 366, Street 6, University Town, Peshawar"
KAR-2221,Irfan Kayani,800,Suzuki Mehran,2026,"House 309, Street 10, Gulgasht, Multan"
ICT-2690,Shahzad Shirazi,3300,Toyota Land Cruiser ZX,2022,"159-36 Cantt, Multan"
LEA-3479,Shahzad Shirazi,2000,Mercedes C200,2019,"159-36 Cantt, Multan"
LEA-4581,Shahzad Shirazi,2700,Toyota Prado TX,2020,"159-36 Cantt, Multan"
LEA-5076,U. Wazir,70,Honda CD-70,2017,H#10 St-24 Gulshan-e-Iqbal Karachi
LEA-8193,U.Gondal,2000,Hyundai Tucson,2019,مکان 40 گلی 19 Bahria Phase 4 راولپنڈی
LEA-2201,U.Gondal,3300,Toyota Land Cruiser ZX,2022,مکان 40 گلی 19 Bahria Phase 4 راولپنڈی
AFR-8231,Iqra Virk,70,Honda CD-70,2022,"House 93, Street 40, Bahria Phase 4, Rawalpindi"
LEA-3612,Chaudhary Sufyan Yousafzai,660,Suzuki Alto,2019,"House No. 120, Gali 35, Model Town, Lahore"
KAR-305,W.Kakar,1300,Toyota Corolla GLi,2017,مکان 258 گلی 34 Model Town لاہور
RIR-9574,Taimoor Kazmi,800,Suzuki Mehran,2025,"House 47, Street 15, Westridge, Rawalpindi"
AFR-4327,J.Janjua,2700,Toyota Prado TX,2019,مکان 192 گلی 15 Clifton Block 2 کراچی
KAR-9501,J.Janjua,2700,Toyota Fortuner,2020,مکان 192 گلی 15 Clifton Block 2 کراچی
LEA-1036,N.Butt,1000,Suzuki Cultus,2022,مکان 357 گلی 9 Model Town لاہور
RIR-5150,Adnan Zaidi,660,Suzuki Alto,2018,"271-28 Gulgasht, Multan"
RIR-4548,Haji Pervez Afridi,2000,Audi e-tron,2017,"House No. 235, Gali 5, Gulbahar, Peshawar"
LEA-3678,Sardar Madiha Abbasi,1500,Honda Civic RS,2019,"House No. 1, Gali 40, Model Town, Lahore"
LEA-9445,Syed Madiha Abbasi,2000,Mercedes C200,2024,"House No. 1, Gali 40, Model Town, Lahore"
ICT-5599,Syed Madiha Abbasi,3300,Toyota Land Cruiser ZX,2019,"House No. 1, Gali 40, Model Town, Lahore"
RIR-8374,Kamran Naqvi,1500,Honda Civic RS,2017,"260-36 D Ground, Faisalabad"
AFR-1183,Kamran Naqvi,2000,Mercedes C200,2023,"260-36 D Ground, Faisalabad"
LEA-7684,علی Gill,660,Suzuki Alto,2019,"177-16 Hayatabad Phase 3, Peshawar"
AFR-5479,Yousuf Kayani,800,Suzuki Mehran,2021,"House 98, Street 19, B-17, Islamabad"
LEA-6161,S.Raja,70,Honda CD-70,2021,مکان 41 گلی 28 Shah Rukn-e-Alam Multan
RIR-7010,Bushra Mirza,70,Honda CD-70,2024,"309-28 Model Town, Lahore"
KAR-6609,Mehwish Sial,1000,Suzuki Cultus,2018,"39-26 DHA Phase 5, Lahore"
ICT-5040,Jawad Sandhu,2700,Toyota Prado TX,2026,"294-9 Clifton Block 2, Karachi"
ICT-8336,Jawad Sandhu,1800,Toyota Corolla Altis,2017,"294-9 Clifton Block 2, Karachi"
LEA-1401,Jawad Sandhu,3300,Toyota Land Cruiser ZX,2022,"294-9 Clifton Block 2, Karachi"
RIR-4602,H. Saddozai,2000,Audi e-tron,2017,H#266 St-25 Westridge Rawalpindi
LEA-793,F.Gill,3300,Toyota Land Cruiser ZX,2017,مکان 282 گلی 35 Cantt Multan
AFR-7166,F.Gill,1800,Toyota Corolla Altis,2024,مکان 282 گلی 35 Cantt Multan
KAR-9107,Ibrahim Kazmi,1800,Toyota Corolla Altis,2026,"House 103, Street 9, Satellite Town, Rawalpindi"
ICT-2523,F.Awan,2700,Toyota Fortuner,2021,مکان 231 گلی 30 DHA Phase 5 لاہور
KAR-1162,A.Khattak,1000,Suzuki Cultus,2018,مکان 88 گلی 40 Bahria Phase 4 راولپنڈی
RIR-9744,Y.Mehsud,1800,Toyota Corolla Altis,2024,مکان 233 گلی 5 Gulshan-e-Iqbal کراچی
AFR-5128,E.Shirazi,2700,Toyota Prado TX,2020,مکان 368 گلی 21 Chaklala Scheme 3 راولپنڈی
KAR-9581,E.Shirazi,2700,Toyota Prado TX,2026,مکان 368 گلی 21 Chaklala Scheme 3 راولپنڈی
LEA-5845,E.Shirazi,1800,Toyota Corolla Altis,2019,مکان 368 گلی 21 Chaklala Scheme 3 راولپنڈی
AFR-7169,S. Janjua,1200,Honda City,2022,H#137 St-29 CliftonBlock2 Karachi
AFR-2405,M. Tarar,660,Suzuki Alto,2024,H#168 St-37 BahriaPhase4 Rawalpindi
ICT-5012,Anas Niazi,1800,Toyota Corolla Altis,2019,"House 47, Street 26, Clifton Block 2, Karachi"
AFR-7865,Anas Niazi,2000,Mercedes C200,2021,"House 47, Street 26, Clifton Block 2, Karachi"
RIR-4661,Anas Niazi,2700,Toyota Fortuner,2026,"House 47, Street 26, Clifton Block 2, Karachi"
LEA-2810,Mian Irfan Hashmi,1500,Honda Civic RS,2018,"House No. 345, Gali 31, D Ground, Faisalabad"
AFR-1949,Mian Rida Sandhu,3300,Toyota Land Cruiser ZX,2018,"House No. 188, Gali 3, University Town, Peshawar"
ICT-1477,Malik Rida Sandhu,3300,Toyota Land Cruiser ZX,2025,"House No. 188, Gali 3, University Town, Peshawar"
KAR-9557,Syed Rida Sandhu,2700,Toyota Prado TX,2020,"House No. 188, Gali 3, University Town, Peshawar"
LEA-4060,N. Sandhu,1300,Toyota Corolla GLi,2025,H#102 St-39 HayatabadPhase3 Peshawar
AFR-1794,W. Warraich,2700,Toyota Fortuner,2025,H#154 St-38 DGround Faisalabad
LEA-3195,Rana Hassan Shirazi,1800,Toyota Corolla Altis,2017,"House No. 336, Gali 38, Gulshan-e-Iqbal, Karachi"
AFR-1202,Mian Hassan Shirazi,2700,Toyota Prado TX,2021,"House No. 336, Gali 38, Gulshan-e-Iqbal, Karachi"
RIR-3472,P.Abbasi,660,Suzuki Alto,2020,مکان 211 گلی 33 DHA Phase 6 کراچی
ICT-2213,Nadia Bhatti,660,Suzuki Alto,2018,"House 270, Street 25, Shah Rukn-e-Alam, Multan"
ICT-810,Haji Gul Kakar,1000,Suzuki Cultus,2022,"House No. 349, Gali 17, Gulbahar, Peshawar"
KAR-7706,S. Niazi,2700,Toyota Prado TX,2019,H#361 St-14 UniversityTown Peshawar
RIR-4006,Rana Waseem Mirza,70,Honda CD-70,2023,"House No. 347, Gali 35, G-13/1, Islamabad"
ICT-2398,Madiha Raja,1200,Honda City,2017,"House 336, Street 17, Model Town, Lahore"
LEA-1834,Naveed قریشی,2000,Hyundai Tucson,2017,"301-16 D Ground, Faisalabad"
KAR-2391,Naveed قریشی,1500,Honda Civic RS,2017,"301-16 D Ground, Faisalabad"
RIR-6718,Sardar Obaid Cheema,2000,Hyundai Tucson,2026,"House No. 52, Gali 9, Shah Rukn-e-Alam, Multan"
RIR-7753,Chaudhary Obaid Cheema,2000,Hyundai Tucson,2021,"House No. 52, Gali 9, Shah Rukn-e-Alam, Multan"
ICT-3239,Chaudhary Obaid Cheema,1800,Toyota Corolla Altis,2018,"House No. 52, Gali 9, Shah Rukn-e-Alam, Multan"
RIR-4438,Zafar Khattak,1800,Toyota Corolla Altis,2019,"House 165, Street 19, Chaklala Scheme 3, Rawalpindi"
ICT-7223,Chaudhary Saad Tarar,660,Suzuki Alto,2023,"House No. 19, Gali 26, Hayatabad Phase 3, Peshawar"
ICT-9496,Sardar Babar Mirza,1200,Honda City,2026,"House No. 69, Gali 33, North Nazimabad, Karachi"
AFR-9491,Mian Uzma Kayani,2000,Mercedes C200,2019,"House No. 8, Gali 22, Cantt, Multan"
ICT-295,N.Virk,1800,Toyota Corolla Altis,2019,مکان 386 گلی 18 Westridge راولپنڈی
KAR-2805,N.Virk,2000,Mercedes C200,2018,مکان 386 گلی 18 Westridge راولپنڈی
KAR-2196,Haji Jawad Yousafzai,3300,Toyota Land Cruiser ZX,2019,"House No. 69, Gali 31, Bahria Phase 4, Rawalpindi"
RIR-1810,Syed Jawad Yousafzai,2000,Audi e-tron,2018,"House No. 69, Gali 31, Bahria Phase 4, Rawalpindi"
KAR-9758,M. Wazir,2000,Hyundai Tucson,2019,H#391 St-16 HayatabadPhase3 Peshawar
LEA-2705,M. Wazir,1500,Honda Civic RS,2024,H#391 St-16 HayatabadPhase3 Peshawar
RIR-8231,M. Wazir,2700,Toyota Fortuner,2018,H#391 St-16 HayatabadPhase3 Peshawar
RIR-9787,Chaudhary Faisal Gilani,660,Suzuki Alto,2024,"House No. 281, Gali 33, G-10/2, Islamabad"
KAR-2097,F.Mehsud,2000,Audi e-tron,2025,مکان 47 گلی 33 Westridge راولپنڈی
RIR-1198,F.Mehsud,2000,Mercedes C200,2021,مکان 47 گلی 33 Westridge راولپنڈی
KAR-6556,Rabia شیخ,3300,Toyota Land Cruiser ZX,2022,"345-20 Madina Town, Faisalabad"
ICT-8294,Rabia شیخ,2000,Hyundai Tucson,2022,"345-20 Madina Town, Faisalabad"
RIR-2286,Rana Usman Sial,2700,Toyota Prado TX,2021,"House No. 278, Gali 4, DHA Phase 5, Lahore"
LEA-9430,Haji Usman Sial,2700,Toyota Prado TX,2018,"House No. 278, Gali 4, DHA Phase 5, Lahore"
KAR-1362,U.Durrani,2000,Hyundai Tucson,2026,مکان 192 گلی 25 Shah Rukn-e-Alam Multan
LEA-8120,Z. Gill,800,Suzuki Mehran,2023,H#276 St-26 F-8/3 Islamabad
RIR-4212,T. Shirazi,3300,Toyota Land Cruiser ZX,2020,H#25 St-16 Gulgasht Multan
AFR-6955,T. Shirazi,2000,Hyundai Tucson,2026,H#25 St-16 Gulgasht Multan
KAR-5895,Rana Imran Awan,1300,Toyota Corolla GLi,2023,"House No. 120, Gali 37, Madina Town, Faisalabad"
RIR-9378,Bushra Naqvi,2000,Audi e-tron,2022,"House 154, Street 18, Westridge, Rawalpindi"
RIR-6847,Bushra Naqvi,2000,Audi e-tron,2017,"House 154, Street 18, Westridge, Rawalpindi"
LEA-3686,Bushra Naqvi,1500,Honda Civic RS,2024,"House 154, Street 18, Westridge, Rawalpindi"
RIR-368,بلال Gill,1000,Suzuki Cultus,2022,"196-34 Gulgasht, Multan"
AFR-2813,M. Rajput,2000,Audi e-tron,2024,H#154 St-10 BahriaPhase4 Rawalpindi
RIR-7759,M. Rajput,1500,Honda Civic RS,2019,H#154 St-10 BahriaPhase4 Rawalpindi
ICT-196,Luqman Janjua,2000,Hyundai Tucson,2019,"House 170, Street 6, Johar Town, Lahore"
AFR-1728,Luqman Janjua,2700,Toyota Fortuner,2022,"House 170, Street 6, Johar Town, Lahore"
KAR-5088,S.Virk,800,Suzuki Mehran,2023,مکان 309 گلی 3 Gulgasht Multan
ICT-7194,A. Kakar,1800,Toyota Corolla Altis,2024,H#239 St-35 ModelTown Lahore
LEA-9894,A. Kakar,2000,Audi e-tron,2017,H#239 St-35 ModelTown Lahore
RIR-8959,Mian Rashid Malik,1200,Honda City,2024,"House No. 300, Gali 38, Wapda Town, Lahore"
LEA-3215,Malik Bilal Tareen,2000,Mercedes C200,2022,"House No. 71, Gali 15, E-11/2, Islamabad"
RIR-2020,I.Yousafzai,2700,Toyota Prado TX,2021,مکان 316 گلی 31 Gulgasht Multan
LEA-1477,I.Yousafzai,3300,Toyota Land Cruiser ZX,2018,مکان 316 گلی 31 Gulgasht Multan
LEA-3943,علی Naqvi,70,Honda CD-70,2024,"275-19 Shah Rukn-e-Alam, Multan"
AFR-7516,Syed Imran Afridi,1200,Honda City,2021,"House No. 88, Gali 6, B-17, Islamabad"
AFR-3862,Chaudhary Hina Butt,2000,Hyundai Tucson,2022,"House No. 355, Gali 37, Bahria Phase 4, Rawalpindi"
KAR-7929,Syed Hina Butt,2700,Toyota Prado TX,2024,"House No. 355, Gali 37, Bahria Phase 4, Rawalpindi"
LEA-8060,Sardar Saad Bhatti,2000,Mercedes C200,2021,"House No. 301, Gali 10, F-8/3, Islamabad"
LEA-5510,Chaudhary Saad Bhatti,2700,Toyota Prado TX,2019,"House No. 301, Gali 10, F-8/3, Islamabad"
AFR-1180,F. Cheema,1800,Toyota Corolla Altis,2024,H#305 St-26 DGround Faisalabad
KAR-890,F. Cheema,1800,Toyota Corolla Altis,2020,H#305 St-26 DGround Faisalabad
LEA-4187,S. Virk,2000,Hyundai Tucson,2020,H#349 St-38 DHAPhase6 Karachi
LEA-6083,S. Virk,1800,Toyota Corolla Altis,2018,H#349 St-38 DHAPhase6 Karachi
AFR-5259,S. Virk,3300,Toyota Land Cruiser ZX,2022,H#349 St-38 DHAPhase6 Karachi
ICT-3730,S.Sandhu,2000,Audi e-tron,2021,مکان 53 گلی 9 University Town Peshawar
KAR-9398,Obaid قریشی,1000,Suzuki Cultus,2021,"182-36 G-10/2, Islamabad"
ICT-7013,Luqman Kakar,70,Honda CD-70,2021,"House 287, Street 16, B-17, Islamabad"
LEA-5806,S. Niazi,1200,Honda City,2023,H#75 St-5 ModelTown Lahore
LEA-7382,Ibrahim Kayani,70,Honda CD-70,2023,"305-40 Westridge, Rawalpindi"
AFR-591,Zafar Bhatti,1200,Honda City,2020,"House 164, Street 19, Westridge, Rawalpindi"
RIR-266,I. Siddiqui,3300,Toyota Land Cruiser ZX,2020,H#304 St-35 PeoplesColony Faisalabad
