registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type
REG-611328,Mehwish Mehsud,Faisal Durrani,"House 373, Street 37, Cantt, Multan",165145480,2021-01-05,40,Residential House
REG-597834,Sardar Farhan Khan,Farhan Sheikh,"House 147, Street 18, Chaklala Scheme 3, Rawalpindi",209521440,2025-10-12,40,Apartment
REG-896976,Rana Pervez Khokhar,Nadia Baig,"House 295, Street 38, DHA Phase 5, Lahore",38699455,2023-09-15,5,Residential House
REG-285297,Gul راجہ,Shoaib Hashmi,"House 385, Street 38, Johar Town, Lahore",25193502,2024-10-12,3,Residential House
REG-186496,F.Gill,Nasir Afridi,"House 66, Street 24, North Nazimabad, Karachi",24398730,2025-04-18,5,Farmhouse
REG-294194,Ubaid Chaudhry,Danish Naqvi,"House 159, Street 10, University Town, Peshawar",12656938,2022-11-17,7,Apartment
REG-509491,A. Mughal,Junaid Gill,"House 337, Street 30, Hayatabad Phase 3, Peshawar",52699843,2025-02-15,7,Residential Plot
REG-629522,A. Mughal,Noman Mirza,"House 232, Street 18, Gulbahar, Peshawar",55448981,2026-02-24,7,Residential Plot
REG-192144,H. Raja,Luqman Sial,"House 284, Street 13, North Nazimabad, Karachi",366636960,2022-12-08,80,Farmhouse
REG-626035,Haji Hussain Sheikh,Maryam Joiya,"House 339, Street 32, DHA Phase 5, Lahore",210171840,2021-06-16,40,Apartment
REG-227337,Taimoor قریشی,Zainab Raja,"House 68, Street 15, Gulbahar, Peshawar",186595520,2026-01-16,80,Farmhouse
REG-576199,Ibrahim Sandhu,Saba Rizvi,"House 200, Street 39, DHA Phase 5, Lahore",22373916,2022-08-13,3,Farmhouse
REG-729358,Shahzad Shirazi,Sana Yousafzai,"House 200, Street 5, Shah Rukn-e-Alam, Multan",179719480,2022-09-25,40,Residential Plot
REG-814558,U.Wazir,Mustafa Yousafzai,"House 382, Street 34, Clifton Block 2, Karachi",10861254,2024-03-04,3,Farmhouse
REG-363995,U. Gondal,Babar Butt,"House 173, Street 24, Bahria Phase 4, Rawalpindi",80469880,2022-05-27,40,Farmhouse
REG-583620,Jawad Janjua,Saad Hashmi,"House 219, Street 34, North Nazimabad, Karachi",238612760,2023-03-30,40,Apartment
REG-926606,Jawad Janjua,Rabia Dar,"House 287, Street 28, Clifton Block 2, Karachi",97422600,2023-01-10,20,Residential Plot
REG-451040,P. Afridi,Mansoor Kayani,"House 266, Street 29, Gulbahar, Peshawar",67872620,2025-02-15,10,Apartment
REG-377954,P. Afridi,Nadeem Bukhari,"House 227, Street 6, University Town, Peshawar",139854400,2024-07-20,20,Commercial Plaza
REG-606397,M. Abbasi,Mustafa Sial,"House 274, Street 8, Wapda Town, Lahore",49493073,2021-04-02,7,Commercial Plaza
REG-314942,Sardar Kamran Naqvi,Hussain Khokhar,"House 276, Street 20, Madina Town, Faisalabad",29801985,2023-12-17,5,Farmhouse
REG-111146,Malik Kamran Naqvi,Fatima Baig,"House 131, Street 34, Madina Town, Faisalabad",324458800,2025-07-08,80,Apartment
REG-310216,Chaudhary Ali Gill,Ali Mirza,"House 341, Street 35, Hayatabad Phase 3, Peshawar",9183675,2021-09-20,5,Residential House
REG-637393,Syed Yousuf Kayani,Lubna Tareen,"House 145, Street 38, B-17, Islamabad",9624655,2022-08-26,5,Residential House
REG-725092,Sajid راجہ,Mahnoor Janjua,"House 20, Street 2, Shah Rukn-e-Alam, Multan",39897790,2023-09-16,5,Residential House
REG-853084,Syed Jawad Sandhu,Waqas Raja,"House 234, Street 38, DHA Phase 6, Karachi",179729840,2024-07-05,40,Residential Plot
REG-745988,Rana Jawad Sandhu,Luqman Butt,"House 125, Street 5, North Nazimabad, Karachi",129279300,2025-05-14,20,Residential House
REG-563830,Hassan Saddozai,Rauf Tarar,"House 305, Street 21, Satellite Town, Rawalpindi",347290920,2022-05-06,40,Farmhouse
REG-693995,Hassan Saddozai,Mubashir Lodhi,"House 87, Street 20, Westridge, Rawalpindi",110428220,2024-06-02,20,Farmhouse
REG-699417,Farah Gill,Saba Gilani,"House 178, Street 2, Shah Rukn-e-Alam, Multan",24947610,2021-07-09,10,Apartment
REG-357770,Ibrahim Kazmi,Adnan Butt,"House 65, Street 29, Chaklala Scheme 3, Rawalpindi",76132220,2022-08-04,20,Residential Plot
REG-468459,Ibrahim Kazmi,Obaid Sial,"House 23, Street 12, Bahria Phase 4, Rawalpindi",16533605,2023-04-23,5,Residential Plot
REG-855755,Chaudhary Faisal Awan,Amna Malik,"House 156, Street 5, DHA Phase 5, Lahore",218067200,2021-10-20,80,Commercial Plaza
REG-916901,Mian Faisal Awan,Zainab Kazmi,"House 51, Street 4, Wapda Town, Lahore",348535360,2021-03-09,80,Residential Plot
REG-729038,Yasir Mehsud,Zara Kakar,"House 157, Street 28, Clifton Block 2, Karachi",144629040,2025-02-14,20,Apartment
REG-479602,Yasir Mehsud,Tooba Bhatti,"House 289, Street 8, DHA Phase 6, Karachi",69937000,2024-05-02,20,Residential Plot
REG-500056,E. Shirazi,Amna Siddiqui,"House 252, Street 8, Satellite Town, Rawalpindi",143443300,2021-11-01,20,Farmhouse
REG-487512,E. Shirazi,Amna Baig,"House 123, Street 3, Bahria Phase 4, Rawalpindi",134191680,2022-03-08,20,Residential House
REG-856255,Sardar Saqib Janjua,Zara Lodhi,"House 225, Street 24, Clifton Block 2, Karachi",19685580,2024-11-05,3,Commercial Plaza
REG-740989,A. Niazi,Tooba Yousafzai,"House 319, Street 8, DHA Phase 6, Karachi",255105680,2023-05-02,40,Residential Plot
REG-970319,I.Hashmi,Rauf Kayani,"House 44, Street 34, D Ground, Faisalabad",185224360,2024-09-22,40,Commercial Plaza
REG-213322,Rida Sandhu,Waqas Bangash,"House 231, Street 20, Hayatabad Phase 3, Peshawar",43764425,2021-03-04,5,Residential Plot
REG-581736,Waqas Warraich,Junaid Kakar,"House 282, Street 28, D Ground, Faisalabad",564476160,2025-09-05,80,Residential House
REG-530672,H. Shirazi,Zeeshan Malik,"House 255, Street 20, Gulshan-e-Iqbal, Karachi",616445920,2024-05-06,80,Residential House
REG-374507,N.Bhatti,Usman Awan,"House 217, Street 5, Shah Rukn-e-Alam, Multan",16667730,2023-11-27,3,Farmhouse
REG-227882,G. Kakar,Zubair Siddiqui,"House 121, Street 22, University Town, Peshawar",21229458,2022-02-13,3,Commercial Plaza
REG-599249,S.Niazi,Ubaid Hashmi,"House 377, Street 29, University Town, Peshawar",515599120,2023-05-18,80,Residential House
REG-180170,S.Niazi,Zafar Khokhar,"House 66, Street 14, Gulbahar, Peshawar",41966057,2024-09-06,7,Farmhouse
REG-820144,M. Raja,Waseem Ansari,"House 178, Street 23, Gulberg III, Lahore",51163364,2021-04-23,7,Commercial Plaza
REG-230857,N. Qureshi,Anas Tareen,"House 89, Street 19, Madina Town, Faisalabad",176138080,2021-05-20,40,Residential House
REG-634883,O.Cheema,Khalid Sandhu,"House 64, Street 11, Shah Rukn-e-Alam, Multan",75826000,2021-07-18,10,Commercial Plaza
REG-357667,O.Cheema,Yousuf Sheikh,"House 139, Street 16, Shah Rukn-e-Alam, Multan",99069600,2021-02-14,40,Commercial Plaza
REG-431311,Zafar Khattak,Nadeem Wazir,"House 62, Street 8, Westridge, Rawalpindi",45514938,2021-10-06,7,Residential House
REG-698606,Zafar Khattak,Farah Tareen,"House 160, Street 18, Bahria Phase 4, Rawalpindi",353829280,2024-06-26,80,Apartment
REG-375317,Uzma Kayani,Rabia Tarar,"House 157, Street 39, Gulgasht, Multan",160783440,2025-01-26,40,Commercial Plaza
REG-631705,Uzma Kayani,Ghulam Khokhar,"House 89, Street 29, Gulgasht, Multan",562208480,2025-02-10,80,Residential Plot
REG-473789,Nadeem Virk,Anas Chaudhry,"House 244, Street 16, Satellite Town, Rawalpindi",36167710,2023-01-10,10,Residential House
REG-686607,Nadeem Virk,Muhammad Zaidi,"House 100, Street 5, Westridge, Rawalpindi",33226590,2024-03-08,10,Residential Plot
REG-439689,J. Yousafzai,Sajid Tareen,"House 24, Street 17, Westridge, Rawalpindi",515408880,2024-09-18,80,Residential Plot
REG-457997,Haji Maryam Wazir,Hassan Zaidi,"House 338, Street 33, Gulbahar, Peshawar",12885355,2025-05-18,7,Commercial Plaza
REG-819374,F. Mehsud,Noman Bangash,"House 293, Street 12, Satellite Town, Rawalpindi",37160620,2022-06-13,7,Residential Plot
REG-713659,F. Mehsud,Madiha Gondal,"House 269, Street 11, Satellite Town, Rawalpindi",24634967,2024-03-26,7,Commercial Plaza
REG-165035,R. Sheikh,Faisal Hashmi,"House 148, Street 37, D Ground, Faisalabad",33522730,2023-01-15,10,Farmhouse
REG-685432,R. Sheikh,Hina Awan,"House 257, Street 32, Peoples Colony, Faisalabad",238130640,2024-04-30,40,Apartment
REG-432798,Usman Sial,Lubna Naqvi,"House 38, Street 29, Wapda Town, Lahore",56153290,2022-03-09,10,Farmhouse
REG-193315,Usman Sial,Ayesha Khokhar,"House 337, Street 16, Gulberg III, Lahore",50777965,2024-12-30,7,Commercial Plaza
REG-234853,U. Durrani,Ubaid Mughal,"House 64, Street 24, Gulgasht, Multan",293596400,2021-07-26,40,Residential House
REG-453950,Z.Gill,Ghulam Rajput,"House 165, Street 20, G-13/1, Islamabad",16568922,2022-04-07,3,Residential House
REG-273172,Taimoor Shirazi,Wajahat Afridi,"House 227, Street 26, Gulgasht, Multan",181832160,2021-11-04,80,Farmhouse
REG-246456,Bushra Naqvi,Sana Kayani,"House 289, Street 11, Bahria Phase 4, Rawalpindi",326567840,2024-07-29,80,Residential Plot
REG-470280,Bushra Naqvi,Rida Kayani,"House 301, Street 24, Bahria Phase 4, Rawalpindi",25766270,2022-11-25,10,Apartment
REG-470606,Chaudhary Maryam Rajput,Mansoor Qureshi,"House 153, Street 39, Westridge, Rawalpindi",105824680,2021-04-05,20,Residential House
REG-277006,Syed Maryam Rajput,Khalid Kazmi,"House 282, Street 25, Westridge, Rawalpindi",88172280,2023-03-22,40,Farmhouse
REG-722484,Syed Luqman Janjua,Zubair Kakar,"House 91, Street 6, Johar Town, Lahore",188672960,2021-01-10,80,Apartment
REG-345221,A.Kakar,Junaid Sial,"House 400, Street 2, Johar Town, Lahore",81251140,2023-06-26,10,Residential Plot
REG-606805,A.Kakar,Amna Niazi,"House 352, Street 22, Johar Town, Lahore",34786230,2021-06-21,5,Residential House
REG-478542,Wajahat قریشی,Arsalan Awan,"House 385, Street 11, Hayatabad Phase 3, Peshawar",44728404,2021-01-23,7,Residential Plot
REG-798328,بلال Tareen,Amna Kazmi,"House 366, Street 39, G-13/1, Islamabad",153429360,2023-04-02,40,Commercial Plaza
REG-952441,Chaudhary Imran Yousafzai,Irfan Mughal,"House 324, Street 36, Gulgasht, Multan",143633380,2025-04-17,20,Commercial Plaza
REG-496954,Malik Imran Yousafzai,Saba Kakar,"House 259, Street 8, Shah Rukn-e-Alam, Multan",62881770,2022-09-07,7,Residential House
REG-142321,Hina بٹ,Noor Afridi,"House 112, Street 39, Chaklala Scheme 3, Rawalpindi",88325260,2021-07-24,20,Farmhouse
REG-186288,S. Bhatti,Mahnoor Afridi,"House 338, Street 32, I-8/4, Islamabad",169061660,2021-04-16,20,Residential Plot
REG-765359,S. Bhatti,Zafar Bukhari,"House 90, Street 40, I-8/4, Islamabad",62624835,2025-03-20,7,Farmhouse
REG-122822,L.Mehsud,Rauf Saddozai,"House 139, Street 4, D Ground, Faisalabad",23595297,2021-12-10,3,Commercial Plaza
REG-361935,Faisal Cheema,Hina Khattak,"House 215, Street 28, Peoples Colony, Faisalabad",25284430,2022-09-10,10,Residential Plot
REG-308893,Faisal Cheema,Saba Shirazi,"House 45, Street 15, Madina Town, Faisalabad",154665600,2026-02-24,80,Farmhouse
REG-504233,Sadia Virk,Naveed Sial,"House 368, Street 7, Gulshan-e-Iqbal, Karachi",27126295,2021-01-30,5,Residential House
REG-631675,Sadia Virk,Mubashir Niazi,"House 81, Street 7, North Nazimabad, Karachi",697580240,2025-07-28,80,Commercial Plaza
REG-627966,A. Virk,Usman Saddozai,"House 358, Street 2, Cantt, Multan",32782862,2021-09-20,7,Commercial Plaza
REG-402599,S. Sandhu,Saad Hashmi,"House 332, Street 12, Gulbahar, Peshawar",90293360,2022-12-09,20,Farmhouse
REG-688826,S. Sandhu,Haris Awan,"House 387, Street 26, University Town, Peshawar",591374320,2025-04-07,80,Farmhouse
REG-875568,Ibrahim Siddiqui,Adnan Bangash,"House 176, Street 9, D Ground, Faisalabad",278800880,2022-05-29,80,Apartment
REG-135612,B. Abbasi,Ali Kakar,"House 363, Street 38, Cantt, Multan",372127440,2025-02-17,80,Commercial Plaza
REG-565148,B. Abbasi,Noor Warraich,"House 264, Street 13, Cantt, Multan",188326080,2025-03-06,40,Residential Plot
REG-676456,Javeria Tarar,Ehsan Lodhi,"House 254, Street 16, D Ground, Faisalabad",321207200,2023-05-22,40,Residential House
REG-892404,Uzma Yousafzai,Zara Butt,"House 181, Street 39, I-8/4, Islamabad",20069775,2022-02-07,3,Residential House
REG-108937,F. Saddozai,Hafsa Joiya,"House 93, Street 25, Madina Town, Faisalabad",562413360,2024-12-16,80,Residential Plot
REG-605596,Mahnoor Orakzai,Sufyan Hashmi,"House 330, Street 11, Madina Town, Faisalabad",14914476,2023-12-22,3,Farmhouse
REG-356072,A.Mehsud,Zainab Gilani,"House 154, Street 40, University Town, Peshawar",58250633,2021-11-05,7,Residential Plot
REG-287541,Danish Warraich,Hamza Yousafzai,"House 144, Street 6, Gulgasht, Multan",135488360,2021-11-14,40,Residential Plot
REG-560704,Lubna Dar,Junaid Sandhu,"House 91, Street 34, Chaklala Scheme 3, Rawalpindi",19911111,2024-01-20,3,Apartment
REG-905939,F.Kayani,Luqman Tarar,"House 193, Street 28, Cantt, Multan",18349961,2022-04-27,7,Residential Plot
REG-508384,Ubaid Yousafzai,Imran Ansari,"House 152, Street 27, Satellite Town, Rawalpindi",59011414,2025-11-10,7,Residential House
REG-729968,T.Yousafzai,Iqra Chaudhry,"House 152, Street 16, G-10/2, Islamabad",80900770,2022-04-20,10,Residential Plot
REG-563977,Zubair Butt,Nasir Virk,"House 70, Street 15, Model Town, Lahore",198956720,2021-01-11,40,Apartment
REG-208566,Zubair Butt,Zubair Rajput,"House 76, Street 1, Wapda Town, Lahore",182957280,2022-06-24,80,Residential House
REG-899930,F. Lodhi,Ahmed Dar,"House 184, Street 16, Gulbahar, Peshawar",25530995,2024-07-02,7,Commercial Plaza
REG-581108,M. Butt,Usman Gilani,"House 274, Street 5, Gulshan-e-Iqbal, Karachi",48769245,2023-05-05,7,Commercial Plaza
REG-205767,R.Gill,Qasim Gilani,"House 199, Street 21, D Ground, Faisalabad",626451600,2024-04-19,80,Apartment
REG-887874,G. Qureshi,Anas Siddiqui,"House 319, Street 17, Chaklala Scheme 3, Rawalpindi",39657180,2023-06-11,20,Farmhouse
REG-420262,G. Qureshi,Zeeshan Lodhi,"House 2, Street 1, Satellite Town, Rawalpindi",712677040,2025-03-16,80,Commercial Plaza
REG-263315,Gul Warraich,Muhammad Joiya,"House 295, Street 30, Clifton Block 2, Karachi",166260140,2021-08-15,20,Apartment
REG-198143,Nasir Kazmi,Nimra Rajput,"House 80, Street 4, Gulgasht, Multan",23055627,2022-04-09,3,Apartment
REG-197108,Malik Anas Lodhi,Anas Lodhi,"House 396, Street 13, Gulberg III, Lahore",31297025,2022-08-16,5,Farmhouse
REG-141026,Rana Haris Orakzai,Nadeem Kakar,"House 347, Street 33, Satellite Town, Rawalpindi",59039813,2023-07-10,7,Residential House
REG-123111,D.Virk,Rabia Niazi,"House 71, Street 5, F-8/3, Islamabad",36959573,2023-05-07,7,Commercial Plaza
REG-384473,R. Virk,Sana Gondal,"House 325, Street 18, Johar Town, Lahore",21031370,2023-01-26,10,Apartment
REG-879075,Noor Shirazi,Nimra Chaudhry,"House 123, Street 8, Wapda Town, Lahore",309563200,2021-03-04,80,Apartment
REG-700958,Noor Shirazi,Qasim Khokhar,"House 218, Street 28, Model Town, Lahore",646252560,2025-10-21,80,Commercial Plaza
REG-543044,Ahmed Kayani,Anas Hashmi,"House 71, Street 26, Bahria Phase 4, Rawalpindi",71863660,2024-03-15,20,Farmhouse
REG-690059,Ahmed Kayani,Ghulam Mirza,"House 319, Street 32, Westridge, Rawalpindi",199195720,2025-04-18,40,Farmhouse
REG-147053,T. Afridi,Sana Baig,"House 177, Street 8, Madina Town, Faisalabad",171794560,2025-10-14,40,Residential House
REG-788139,F. Khokhar,Tooba Shirazi,"House 208, Street 16, Peoples Colony, Faisalabad",53567311,2022-02-24,7,Farmhouse
REG-876959,Waqas Hashmi,Taimoor Kazmi,"House 365, Street 4, Gulberg III, Lahore",11369210,2023-08-05,5,Farmhouse
REG-304509,Rida Siddiqui,Mansoor Kazmi,"House 135, Street 27, Hayatabad Phase 3, Peshawar",20156752,2024-03-17,7,Residential Plot
REG-954400,Rabia Niazi,Sufyan Sandhu,"House 318, Street 6, Gulgasht, Multan",224706920,2023-02-25,40,Farmhouse
REG-721414,Rabia Niazi,Babar Sandhu,"House 276, Street 15, Cantt, Multan",229395400,2023-10-07,40,Residential Plot
REG-170975,Rida Niazi,Qasim Hashmi,"House 235, Street 29, I-8/4, Islamabad",379705600,2021-09-05,80,Residential Plot
REG-564566,Danish Naqvi,Sana Siddiqui,"House 83, Street 13, North Nazimabad, Karachi",166587760,2023-05-18,20,Apartment
REG-703301,A.Abbasi,Mubashir Khan,"House 193, Street 8, B-17, Islamabad",13382615,2024-11-08,5,Apartment
