meter_ref_no,consumer_name,installation_address,avg_monthly_bill_pkr,connection_type
MTR-49068079,Saqib Sial,"House 60, Street 25, D Ground, Faisalabad",357037,Domestic
MTR-33508440,Chaudhary Ibrahim Sial,"House No. 170, Gali 40, B-17, Islamabad",33171,Domestic
MTR-10571999,A. Warraich,H#284 St-9 ShahRukn-e-Alam Multan,193349,Domestic
MTR-20741296,Nasir Zaidi,"House 156, Street 19, Hayatabad Phase 3, Peshawar",242252,Commercial
MTR-97235411,Rehan Kazmi,"338-6 DHA Phase 6, Karachi",17180,Domestic
MTR-43853894,Gul Niazi,"House 76, Street 2, Bahria Phase 4, Rawalpindi",6764,Domestic
MTR-61343672,Sardar Ubaid Tarar,"House No. 100, Gali 25, Gulgasht, Multan",167304,Domestic
MTR-87502343,Qasim Gondal,"26-36 Westridge, Rawalpindi",13920,Domestic
MTR-23109745,H. Zaidi,H#387 St-29 MadinaTown Faisalabad,129388,Domestic
MTR-57029564,Y.Joiya,مکان 327 گلی 18 Johar Town لاہور,187699,Domestic
MTR-93568775,Haji Irfan Janjua,"House No. 164, Gali 35, Gulberg III, Lahore",34942,Commercial
MTR-79595566,Lubna Dar,"House 209, Street 22, E-11/2, Islamabad",29601,Commercial
MTR-49327336,L.Kakar,مکان 11 گلی 37 D Ground Faisalabad,23215,Domestic
MTR-53357953,L. Cheema,H#208 St-11 Gulgasht Multan,15484,Commercial
MTR-17462790,Rabia Wazir,"330-28 G-10/2, Islamabad",56691,Domestic
MTR-55753342,Haji Zainab Sheikh,"House No. 333, Gali 5, Johar Town, Lahore",7901,Domestic
MTR-24774041,A.Janjua,مکان 343 گلی 8 Westridge راولپنڈی,45831,Domestic
MTR-85480965,J.Shirazi,مکان 368 گلی 8 D Ground Faisalabad,54787,Commercial
MTR-75175079,Amna Mehsud,"House 367, Street 13, North Nazimabad, Karachi",228013,Commercial
MTR-59818487,Asad Sial,"363-10 Model Town, Lahore",22060,Domestic
MTR-47862613,Malik Wajahat Sial,"House No. 304, Gali 18, Gulbahar, Peshawar",6312,Commercial
MTR-31040273,Wajahat Gilani,"195-22 D Ground, Faisalabad",317967,Domestic
MTR-81539870,N.Cheema,مکان 360 گلی 18 Wapda Town لاہور,22200,Domestic
MTR-85188624,Syed Mustafa Zaidi,"House No. 354, Gali 31, Hayatabad Phase 3, Peshawar",41817,Commercial
MTR-88818874,J. Janjua,H#189 St-31 WapdaTown Lahore,10289,Commercial
MTR-46475851,B. Gill,H#139 St-20 ShahRukn-e-Alam Multan,40541,Domestic
MTR-91103559,Maryam Tareen,"99-14 Cantt, Multan",15243,Domestic
MTR-96691736,Umar Mirza,"House 92, Street 20, Chaklala Scheme 3, Rawalpindi",19283,Commercial
MTR-72719553,Sadia Mirza,"House 327, Street 32, Cantt, Multan",156352,Domestic
MTR-63355943,Rana Adnan Gilani,"House No. 128, Gali 8, DHA Phase 5, Lahore",40894,Commercial
MTR-39266348,Mubashir Bukhari,"292-40 Gulshan-e-Iqbal, Karachi",253097,Domestic
MTR-35031616,Mian Waqas Janjua,"House No. 81, Gali 1, Satellite Town, Rawalpindi",25840,Domestic
MTR-98573777,Lubna Mirza,"House 37, Street 15, Shah Rukn-e-Alam, Multan",53917,Commercial
MTR-71119118,Uzma Abbasi,"House 37, Street 4, Johar Town, Lahore",29901,Commercial
MTR-23879465,K.Warraich,مکان 277 گلی 32 Wapda Town لاہور,204564,Commercial
MTR-38159410,H.Raja,مکان 392 گلی 18 Satellite Town راولپنڈی,126744,Domestic
MTR-10575014,W. Ansari,H#326 St-32 MadinaTown Faisalabad,45428,Domestic
MTR-36191515,Chaudhary Waqas Cheema,"House No. 148, Gali 26, North Nazimabad, Karachi",21469,Domestic
MTR-21846501,Chaudhary Anas Afridi,"House No. 105, Gali 18, Clifton Block 2, Karachi",12949,Commercial
MTR-18158813,H.Malik,مکان 123 گلی 11 Gulgasht Multan,317111,Commercial
MTR-51568151,Fahad Khokhar,"79-32 B-17, Islamabad",7139,Domestic
MTR-17273282,Yasir Khokhar,"197-13 Peoples Colony, Faisalabad",52204,Commercial
MTR-72541552,E. Kazmi,H#145 St-20 DHAPhase5 Lahore,171307,Domestic
MTR-54256849,F.Cheema,مکان 194 گلی 30 D Ground Faisalabad,55132,Commercial
MTR-23873812,Malik Usman Bhatti,"House No. 362, Gali 25, Shah Rukn-e-Alam, Multan",41556,Domestic
MTR-87931150,Zeeshan Joiya,"234-1 G-13/1, Islamabad",298315,Domestic
MTR-21413833,Ehsan Yousafzai,"333-6 Shah Rukn-e-Alam, Multan",401859,Domestic
MTR-82846503,S. Mughal,H#15 St-3 ShahRukn-e-Alam Multan,41071,Commercial
MTR-63738922,Y. Naqvi,H#88 St-12 DHAPhase6 Karachi,419712,Domestic
MTR-41991528,Danish Khokhar,"236-17 Shah Rukn-e-Alam, Multan",218384,Commercial
MTR-85824617,Syed Sufyan Gill,"House No. 328, Gali 28, Madina Town, Faisalabad",3439,Commercial
MTR-90054740,A.Janjua,مکان 295 گلی 19 Gulshan-e-Iqbal کراچی,36070,Domestic
MTR-43832258,Gul Tareen,"349-9 Gulgasht, Multan",50890,Domestic
MTR-44625815,Rida Awan,"168-27 I-8/4, Islamabad",11400,Domestic
MTR-66630797,Hina Kazmi,"132-31 Johar Town, Lahore",6971,Commercial
MTR-20724650,Syed Ubaid Sandhu,"House No. 345, Gali 17, Gulgasht, Multan",305426,Domestic
MTR-95366281,Nimra Zaidi,"114-5 Wapda Town, Lahore",29458,Domestic
MTR-79108609,M.Hashmi,مکان 121 گلی 35 G-10/2 اسلام آباد,296033,Domestic
MTR-18281633,Mahnoor Saddozai,"House 213, Street 7, Cantt, Multan",24398,Domestic
MTR-29990089,Rehan Joiya,"House 186, Street 7, DHA Phase 6, Karachi",35949,Domestic
MTR-12959768,Hamza Khokhar,"109-39 B-17, Islamabad",13551,Domestic
MTR-45163181,N.Chaudhry,مکان 107 گلی 38 Gulbahar Peshawar,6821,Commercial
MTR-40036360,Muhammad Lodhi,"House 67, Street 35, Hayatabad Phase 3, Peshawar",4369,Domestic
MTR-22629912,Haji Ahmed Gill,"House No. 302, Gali 21, Hayatabad Phase 3, Peshawar",28559,Domestic
MTR-70905581,H. Siddiqui,H#244 St-29 Cantt Multan,380010,Domestic
MTR-39018227,U.Durrani,مکان 267 گلی 20 Gulbahar Peshawar,5991,Domestic
MTR-13211324,Hafsa قریشی,"38-6 North Nazimabad, Karachi",42579,Domestic
MTR-83021172,Rauf Joiya,"174-30 Westridge, Rawalpindi",213460,Domestic
MTR-45843604,K. Sandhu,H#35 St-6 Westridge Rawalpindi,397241,Commercial
MTR-18970696,N. Sheikh,H#288 St-22 DGround Faisalabad,15164,Commercial
MTR-42913331,S.Qureshi,مکان 189 گلی 8 Wapda Town لاہور,16114,Domestic
MTR-73398160,Chaudhary Mehwish Mehsud,"House No. 14, Gali 39, Gulgasht, Multan",389256,Domestic
MTR-64944172,Farhan Khan,"House 290, Street 26, Bahria Phase 4, Rawalpindi",380822,Commercial
MTR-74241397,P. Khokhar,H#190 St-20 JoharTown Lahore,41195,Domestic
MTR-31386369,Sardar Gul Raja,"House No. 339, Gali 28, Model Town, Lahore",41230,Commercial
MTR-94120268,Syed Fahad Gill,"House No. 146, Gali 38, Clifton Block 2, Karachi",56435,Commercial
MTR-39857789,M. Dar,H#393 St-9 JoharTown Lahore,50348,Domestic
MTR-88068296,Sardar Saad Awan,"House No. 257, Gali 36, DHA Phase 6, Karachi",39519,Commercial
MTR-58100262,Rana Ubaid Chaudhry,"House No. 295, Gali 28, University Town, Peshawar",53245,Commercial
MTR-72779379,A.Mughal,مکان 236 گلی 24 Gulbahar Peshawar,196793,Domestic
MTR-53698864,H.Raja,مکان 382 گلی 22 Gulshan-e-Iqbal کراچی,149863,Commercial
MTR-14320951,Hina Kazmi,"180-10 Chaklala Scheme 3, Rawalpindi",40485,Commercial
MTR-87115184,Z. Chaudhry,H#238 St-37 Westridge Rawalpindi,30580,Commercial
MTR-13477862,Kamran Rajput,"House 141, Street 38, Gulshan-e-Iqbal, Karachi",15021,Domestic
MTR-55102920,H.Sheikh,مکان 40 گلی 6 Gulberg III لاہور,306773,Domestic
MTR-84405920,T. Qureshi,H#366 St-6 UniversityTown Peshawar,211802,Domestic
MTR-69466854,Ibrahim Sandhu,"House 210, Street 22, Model Town, Lahore",57633,Domestic
MTR-21381979,I. Kayani,H#309 St-10 Gulgasht Multan,40433,Domestic
MTR-62382269,S. Shirazi,H#159 St-36 Cantt Multan,329081,Domestic
MTR-25402457,Uzma Wazir,"10-24 Gulshan-e-Iqbal, Karachi",4583,Commercial
MTR-80650419,Umar Gondal,"House 40, Street 19, Bahria Phase 4, Rawalpindi",394287,Commercial
MTR-57774108,Iqra Virk,"93-40 Bahria Phase 4, Rawalpindi",50568,Commercial
MTR-90810071,Sufyan Yousafzai,"House 120, Street 35, Model Town, Lahore",30015,Domestic
MTR-31750551,W. Kakar,H#258 St-34 ModelTown Lahore,24125,Commercial
MTR-98291620,T.Kazmi,مکان 47 گلی 15 Westridge راولپنڈی,49134,Domestic
MTR-35960560,Jawad Janjua,"192-15 Clifton Block 2, Karachi",365017,Domestic
MTR-68898994,Naveed بٹ,"357-9 Model Town, Lahore",52087,Domestic
MTR-76993101,A.Zaidi,مکان 271 گلی 28 Gulgasht Multan,45575,Domestic
MTR-30183757,P.Afridi,مکان 235 گلی 5 Gulbahar Peshawar,255258,Domestic
MTR-19370518,Madiha Abbasi,"1-40 Model Town, Lahore",298728,Domestic
MTR-25986076,K.Naqvi,مکان 260 گلی 36 D Ground Faisalabad,340508,Domestic
MTR-94282757,A.Gill,مکان 177 گلی 16 Hayatabad Phase 3 Peshawar,24566,Domestic
MTR-49905846,Uzma Ansari,"House 238, Street 31, Gulbahar, Peshawar",8678,Commercial
MTR-28533215,حسین Mirza,"103-3 Satellite Town, Rawalpindi",11441,Domestic
MTR-70865408,Y. Kayani,H#98 St-19 B-17 Islamabad,47886,Domestic
MTR-65428338,Syed Rauf Warraich,"House No. 198, Gali 22, Shah Rukn-e-Alam, Multan",16937,Domestic
MTR-79030109,S. Raja,H#41 St-28 ShahRukn-e-Alam Multan,29209,Domestic
MTR-58857090,B.Mirza,مکان 309 گلی 28 Model Town لاہور,36619,Domestic
MTR-47972567,Hussain Awan,"House 399, Street 24, F-8/3, Islamabad",37215,Domestic
MTR-36054934,H.Saddozai,مکان 266 گلی 25 Westridge راولپنڈی,442974,Domestic
MTR-45049385,Javeria Hashmi,"70-5 Satellite Town, Rawalpindi",9952,Commercial
MTR-28426489,Farah Gill,"House 282, Street 35, Cantt, Multan",343283,Domestic
MTR-37000081,I.Kazmi,مکان 103 گلی 9 Satellite Town راولپنڈی,297813,Domestic
MTR-34189826,W.Zaidi,مکان 34 گلی 20 Satellite Town راولپنڈی,16274,Domestic
MTR-80909990,F. Awan,H#231 St-30 DHAPhase5 Lahore,366145,Domestic
MTR-13748682,R. Kazmi,H#64 St-34 HayatabadPhase3 Peshawar,47739,Commercial
MTR-86629448,F. Naqvi,H#129 St-13 DHAPhase5 Lahore,36892,Domestic
MTR-25775968,Ayesha Khattak,"House 88, Street 40, Bahria Phase 4, Rawalpindi",16308,Domestic
MTR-36347568,Malik Zara Dar,"House No. 214, Gali 40, Gulbahar, Peshawar",17292,Domestic
MTR-23496493,Y. Mehsud,H#233 St-5 Gulshan-e-Iqbal Karachi,187864,Domestic
MTR-18265396,Rana Ehsan Shirazi,"House No. 368, Gali 21, Chaklala Scheme 3, Rawalpindi",224934,Domestic
MTR-46463454,M.Tarar,مکان 168 گلی 37 Bahria Phase 4 راولپنڈی,13140,Commercial
MTR-24335019,Sardar Anas Niazi,"House No. 47, Gali 26, Clifton Block 2, Karachi",150732,Commercial
MTR-19042921,Irfan Hashmi,"House 345, Street 31, D Ground, Faisalabad",329379,Domestic
MTR-32603398,R.Sandhu,مکان 188 گلی 3 University Town Peshawar,269165,Domestic
MTR-41651568,L.Kazmi,مکان 320 گلی 40 Gulshan-e-Iqbal کراچی,26195,Commercial
MTR-70154848,Nadia Sandhu,"102-39 Hayatabad Phase 3, Peshawar",17579,Domestic
MTR-14804397,Madiha Cheema,"House 266, Street 30, University Town, Peshawar",29330,Domestic
MTR-87384329,Malik Waqas Warraich,"House No. 154, Gali 38, D Ground, Faisalabad",388062,Domestic
MTR-53668412,Mubashir Rajput,"House 189, Street 22, Hayatabad Phase 3, Peshawar",3188,Commercial
MTR-37939985,H.Shirazi,مکان 336 گلی 38 Gulshan-e-Iqbal کراچی,336777,Domestic
MTR-97757074,Rana Saba Durrani,"House No. 76, Gali 16, Madina Town, Faisalabad",55769,Commercial
MTR-81811723,Pervez Abbasi,"House 211, Street 33, DHA Phase 6, Karachi",16058,Commercial
MTR-20174070,Rana Nadia Bhatti,"House No. 270, Gali 25, Shah Rukn-e-Alam, Multan",34959,Domestic
MTR-12793163,Gul Kakar,"349-17 Gulbahar, Peshawar",17948,Domestic
MTR-60703814,Shoaib Niazi,"House 361, Street 14, University Town, Peshawar",376440,Domestic
MTR-58546163,W.Mirza,مکان 347 گلی 35 G-13/1 اسلام آباد,17160,Domestic
MTR-20026524,Sardar Madiha Raja,"House No. 336, Gali 17, Model Town, Lahore",56607,Domestic
MTR-42891532,Obaid Cheema,"52-9 Shah Rukn-e-Alam, Multan",301211,Domestic
MTR-68752317,Z.Khattak,مکان 165 گلی 19 Chaklala Scheme 3 راولپنڈی,372209,Domestic
MTR-28215592,S. Tarar,H#19 St-26 HayatabadPhase3 Peshawar,48491,Domestic
MTR-28969722,Babar Mirza,"69-33 North Nazimabad, Karachi",29585,Commercial
MTR-67361937,Uzma Kayani,"House 8, Street 22, Cantt, Multan",277295,Domestic
MTR-39128328,Q.Kazmi,مکان 206 گلی 7 DHA Phase 5 لاہور,7341,Domestic
MTR-80051593,Haji Nadeem Virk,"House No. 386, Gali 18, Westridge, Rawalpindi",281796,Commercial
MTR-47984879,I.Wazir,مکان 158 گلی 11 E-11/2 اسلام آباد,54649,Domestic
MTR-15282825,Jawad Yousafzai,"House 69, Street 31, Bahria Phase 4, Rawalpindi",220429,Domestic
MTR-74930142,M.Wazir,مکان 391 گلی 16 Hayatabad Phase 3 Peshawar,324153,Domestic
MTR-94257504,Fahad Mehsud,"47-33 Westridge, Rawalpindi",242613,Domestic
MTR-88667093,Haji Rabia Sheikh,"House No. 345, Gali 20, Madina Town, Faisalabad",223231,Domestic
MTR-35884872,U.Sial,مکان 278 گلی 4 DHA Phase 5 لاہور,264955,Domestic
MTR-27073410,Uzma Durrani,"House 192, Street 25, Shah Rukn-e-Alam, Multan",314001,Domestic
MTR-69168009,Zara Gill,"House 276, Street 26, F-8/3, Islamabad",7214,Domestic
MTR-95441352,Wajahat Mehsud,"House 218, Street 35, Gulgasht, Multan",29587,Domestic
MTR-99651742,U.Durrani,مکان 17 گلی 27 Hayatabad Phase 3 Peshawar,45274,Domestic
MTR-30979589,T.Shirazi,مکان 25 گلی 16 Gulgasht Multan,197256,Commercial
MTR-48258184,I. Awan,H#120 St-37 MadinaTown Faisalabad,49626,Domestic
MTR-34473033,B. Naqvi,H#154 St-18 Westridge Rawalpindi,230450,Commercial
MTR-94988229,Haji Bilal Gill,"House No. 196, Gali 34, Gulgasht, Multan",36901,Domestic
MTR-43999405,Maryam Rajput,"House 154, Street 10, Bahria Phase 4, Rawalpindi",246334,Commercial
MTR-36151974,L.Janjua,مکان 170 گلی 6 Johar Town لاہور,188375,Domestic
MTR-17862793,Sajid Virk,"House 309, Street 3, Gulgasht, Multan",56048,Commercial
MTR-33883836,M.Khan,مکان 380 گلی 8 Bahria Phase 4 راولپنڈی,6517,Domestic
MTR-54706953,Atif Kakar,"House 239, Street 35, Model Town, Lahore",170253,Domestic
MTR-83618142,W.Qureshi,مکان 241 گلی 21 Gulbahar Peshawar,24014,Domestic
MTR-84645277,Rashid Malik,"House 300, Street 38, Wapda Town, Lahore",48437,Domestic
MTR-64609754,R.Janjua,مکان 132 گلی 32 Gulshan-e-Iqbal کراچی,8493,Commercial
MTR-27305539,Naveed Durrani,"House 95, Street 35, Madina Town, Faisalabad",3657,Domestic
MTR-31932394,B.Tareen,مکان 71 گلی 15 E-11/2 اسلام آباد,128334,Domestic
MTR-49329526,Imran Yousafzai,"House 316, Street 31, Gulgasht, Multan",258924,Commercial
MTR-33020527,A. Naqvi,H#275 St-19 ShahRukn-e-Alam Multan,51549,Domestic
MTR-13554750,Hina Abbasi,"318-34 Bahria Phase 4, Rawalpindi",22486,Commercial
MTR-10221153,U. Gilani,H#154 St-6 BahriaPhase4 Rawalpindi,17890,Domestic
MTR-96883337,I.Afridi,مکان 88 گلی 6 B-17 اسلام آباد,4010,Domestic
MTR-38048221,H.Butt,مکان 355 گلی 37 Bahria Phase 4 راولپنڈی,430306,Domestic
MTR-83928378,Saad Bhatti,"House 301, Street 10, F-8/3, Islamabad",293517,Domestic
MTR-48160814,Luqman Mehsud,"House 197, Street 9, Madina Town, Faisalabad",55306,Domestic
MTR-18208127,Syed Faisal Cheema,"House No. 305, Gali 26, D Ground, Faisalabad",241323,Domestic
MTR-72345485,S.Virk,مکان 349 گلی 38 DHA Phase 6 کراچی,164937,Domestic
MTR-40670085,Haji Adnan Virk,"House No. 79, Gali 25, Gulgasht, Multan",55374,Domestic
MTR-21784695,Sufyan Sandhu,"53-9 University Town, Peshawar",186848,Domestic
MTR-87810564,Obaid Qureshi,"House 182, Street 36, G-10/2, Islamabad",40417,Domestic
MTR-26173422,L. Kakar,H#287 St-16 B-17 Islamabad,15283,Domestic
MTR-57350072,Sajid Niazi,"75-5 Model Town, Lahore",57019,Domestic
MTR-27089237,I.Kayani,مکان 305 گلی 40 Westridge راولپنڈی,36291,Domestic
MTR-77857232,Rana Babar Yousafzai,"House No. 226, Gali 22, Gulshan-e-Iqbal, Karachi",36595,Domestic
MTR-61665474,Haji Zafar Bhatti,"House No. 164, Gali 19, Westridge, Rawalpindi",42780,Domestic
MTR-94952013,Rana Ibrahim Siddiqui,"House No. 304, Gali 35, Peoples Colony, Faisalabad",300898,Domestic
MTR-82790574,B.Abbasi,مکان 194 گلی 5 Shah Rukn-e-Alam Multan,244630,Domestic
MTR-43723221,J. Tarar,H#185 St-35 PeoplesColony Faisalabad,355767,Commercial
MTR-58111940,U. Yousafzai,H#331 St-26 G-13/1 Islamabad,26478,Commercial
MTR-64689300,Malik Fatima Saddozai,"House No. 298, Gali 37, D Ground, Faisalabad",223050,Domestic
MTR-41974298,M.Orakzai,مکان 177 گلی 2 Peoples Colony Faisalabad,6042,Domestic
MTR-49885623,F. Durrani,H#160 St-22 ChaklalaScheme3 Rawalpindi,34690,Commercial
MTR-68086830,Sufyan Durrani,"164-5 Shah Rukn-e-Alam, Multan",8155,Domestic
MTR-56184665,Haji Asad Mehsud,"House No. 380, Gali 16, Hayatabad Phase 3, Peshawar",276864,Domestic
MTR-65459856,D. Warraich,H#96 St-28 Cantt Multan,247213,Commercial
MTR-14639830,Malik Fahad Kayani,"House No. 271, Gali 21, Shah Rukn-e-Alam, Multan",59552,Domestic
MTR-65642914,Ubaid Yousafzai,"House 315, Street 38, Chaklala Scheme 3, Rawalpindi",40077,Commercial
MTR-45712217,Rana Talha Sandhu,"House No. 262, Gali 25, Cantt, Multan",37711,Domestic
MTR-52518752,M. Afridi,H#331 St-12 DGround Faisalabad,52677,Domestic
MTR-74052253,Taimoor Yousafzai,"5-32 I-8/4, Islamabad",149908,Commercial
MTR-37931703,Haji Zubair Butt,"House No. 276, Gali 19, Johar Town, Lahore",375204,Domestic
MTR-31036217,Fahad Lodhi,"188-35 Gulbahar, Peshawar",32539,Commercial
MTR-97805700,M.Butt,مکان 179 گلی 6 Gulshan-e-Iqbal کراچی,17244,Domestic
MTR-71245618,Rana Rabia Gill,"House No. 306, Gali 35, Madina Town, Faisalabad",385420,Domestic
MTR-53065760,Mian Gul Qureshi,"House No. 31, Gali 18, Westridge, Rawalpindi",427669,Commercial
MTR-76330771,Haji Gul Warraich,"House No. 296, Gali 18, DHA Phase 6, Karachi",358061,Domestic
MTR-34801184,N.Kazmi,مکان 356 گلی 24 Shah Rukn-e-Alam Multan,58458,Domestic
MTR-19835291,Haji Rida Khokhar,"House No. 358, Gali 23, Gulgasht, Multan",17966,Commercial
MTR-93603480,A. Lodhi,H#173 St-36 GulbergIII Lahore,5563,Domestic
MTR-79924996,Mian Usman Qureshi,"House No. 9, Gali 8, Shah Rukn-e-Alam, Multan",17376,Commercial
MTR-30289477,H. Orakzai,H#82 St-18 ChaklalaScheme3 Rawalpindi,31270,Domestic
MTR-91607781,B.Warraich,مکان 372 گلی 15 Shah Rukn-e-Alam Multan,53847,Domestic
MTR-55805059,S. Bukhari,H#5 St-1 Westridge Rawalpindi,29506,Commercial
MTR-16922216,Uzma Mehsud,"House 272, Street 37, Satellite Town, Rawalpindi",25400,Domestic
MTR-86478552,S. Saddozai,H#316 St-29 Westridge Rawalpindi,11213,Commercial
MTR-53340517,Rida Virk,"162-9 Model Town, Lahore",126984,Domestic
MTR-47255211,N.Shirazi,مکان 338 گلی 20 DHA Phase 5 لاہور,261960,Commercial
MTR-77846804,A.Hashmi,مکان 124 گلی 32 Clifton Block 2 کراچی,16634,Domestic
MTR-99276880,Rana Shahzad Virk,"House No. 216, Gali 24, Gulbahar, Peshawar",42504,Commercial
MTR-94606102,Chaudhary Ahmed Kayani,"House No. 31, Gali 26, Satellite Town, Rawalpindi",294162,Domestic
MTR-66846463,Mian Tariq Afridi,"House No. 316, Gali 10, D Ground, Faisalabad",326610,Commercial
MTR-16766972,Malik Adnan Rizvi,"House No. 301, Gali 5, Model Town, Lahore",31055,Domestic
MTR-34617406,Rana Fahad Khokhar,"House No. 29, Gali 20, D Ground, Faisalabad",19717,Domestic
MTR-58144301,W. Hashmi,H#265 St-17 WapdaTown Lahore,3881,Commercial
MTR-87024940,R.Siddiqui,مکان 172 گلی 28 Hayatabad Phase 3 Peshawar,216737,Commercial
MTR-26495865,A. Khokhar,H#29 St-32 MadinaTown Faisalabad,15642,Commercial
MTR-44042812,Amna Mehsud,"117-33 Cantt, Multan",32039,Domestic
MTR-67767878,Luqman Abbasi,"House 284, Street 27, Satellite Town, Rawalpindi",17177,Domestic
MTR-13546116,Sajid چوہدری,"62-33 Madina Town, Faisalabad",9827,Commercial
MTR-77909494,K. Khokhar,H#397 St-20 UniversityTown Peshawar,34624,Commercial
MTR-39831245,Rabia Niazi,"House 125, Street 30, Gulgasht, Multan",224240,Commercial
MTR-93369614,R. Niazi,H#272 St-16 F-8/3 Islamabad,324360,Domestic
MTR-85063585,D.Naqvi,مکان 235 گلی 6 Gulshan-e-Iqbal کراچی,363907,Commercial
MTR-94046237,M.Gilani,مکان 340 گلی 9 E-11/2 اسلام آباد,5131,Domestic
MTR-23056527,Haji Kinza Saddozai,"House No. 232, Gali 18, Gulberg III, Lahore",15186,Domestic
MTR-76547190,Asad Abbasi,"House 231, Street 30, F-8/3, Islamabad",42336,Commercial
MTR-17334879,T.Niazi,مکان 62 گلی 6 Gulshan-e-Iqbal کراچی,8977,Domestic
MTR-31716474,Rashid راجہ,"183-26 Cantt, Multan",15620,Commercial
MTR-21752570,حسن Warraich,"285-36 University Town, Peshawar",10336,Domestic
MTR-75208696,H.Khan,مکان 67 گلی 13 F-8/3 اسلام آباد,151274,Commercial
MTR-43316955,Malik Ali Chaudhry,"House No. 66, Gali 6, Westridge, Rawalpindi",21902,Domestic
MTR-70422743,Syed Adnan Butt,"House No. 316, Gali 16, D Ground, Faisalabad",373578,Domestic
MTR-25261984,Zafar Rizvi,"House 177, Street 37, University Town, Peshawar",25745,Domestic
MTR-53804142,Iqra Gondal,"30-31 I-8/4, Islamabad",48663,Domestic
MTR-33441641,Sajid Rizvi,"House 29, Street 15, Gulbahar, Peshawar",58949,Domestic
MTR-97183463,Kinza Gill,"361-23 Peoples Colony, Faisalabad",13461,Domestic
MTR-58663294,Z. Niazi,H#20 St-6 Westridge Rawalpindi,239024,Commercial
MTR-19878799,Syed Babar Yousafzai,"House No. 175, Gali 12, Bahria Phase 4, Rawalpindi",440497,Commercial
MTR-51842904,Rida Sial,"House 250, Street 21, Gulbahar, Peshawar",412537,Domestic
